数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
住户部门金融交易资金运用净金融投资 (亿元) 	,	,	,178050.5	,189221.0	,112283.0	,96423.3	,86856.3	,55347.6	,42482.0	,47870.1	,
住户部门金融交易资金运用资金运用 (亿元) 	,	,	,226936.4	,237608.0	,196566.0	,183192.1	,167907.5	,135700.9	,121970.0	,118698.3	,
住户部门金融交易资金运用资金来源 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金运用通货 (亿元) 	,	,	,7336.6	,12232.0	,5840.0	,6664.8	,3536.7	,1968.6	,2086.0	,4516.5	,
住户部门金融交易资金运用存款 (亿元) 	,	,	,174137.3	,188871.0	,105860.0	,119935.6	,102915.9	,77091.7	,49603.0	,59333.8	,
住户部门金融交易资金运用贷款 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金运用证券 (亿元) 	,	,	,	,	,	,	,	,	,	,4742.6	,
住户部门金融交易资金运用证券投资基金份额 (亿元) 	,	,	,7926.3	,6099.0	,14925.0	,9828.6	,2380.1	,5600.6	,6935.0	,3975.2	,
住户部门金融交易资金运用证券公司客户保证金 (亿元) 	,	,	,-600.4	,13.0	,917.0	,1445.8	,1550.1	,-366.4	,-1466.0	,-2105.9	,
住户部门金融交易资金运用保险准备金 (亿元) 	,	,	,36845.5	,31673.0	,23495.0	,17845.2	,22095.3	,22155.2	,19914.0	,16997.8	,
住户部门金融交易资金运用未贴现的银行承兑汇票 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金运用金融机构往来 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金运用准备金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金运用库存现金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金运用中央银行贷款 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金运用其他 (净) (亿元) 	,	,	,-1541.9	,-4543.0	,41054.0	,24781.6	,33023.0	,26510.7	,41068.0	,31238.2	,
住户部门金融交易资金运用直接投资 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金运用其他对外债权债务 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金运用国际储备资产 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金运用国际收支错误与遗漏 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源净金融投资 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源资金运用 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源资金来源 (亿元) 	,	,	,48885.9	,48387.0	,84283.0	,86768.8	,81051.2	,80353.4	,79488.0	,70828.1	,
住户部门金融交易资金来源通货 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源存款 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源贷款 (亿元) 	,	,	,46792.1	,48638.0	,84775.0	,86052.9	,79539.0	,78513.6	,77863.0	,70790.9	,
住户部门金融交易资金来源证券 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源证券投资基金份额 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源证券公司客户保证金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源保险准备金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源未贴现的银行承兑汇票 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源金融机构往来 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源准备金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源库存现金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源中央银行贷款 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源其他 (净) (亿元) 	,	,	,2093.8	,-251.0	,-492.0	,715.8	,1512.3	,1839.7	,1625.0	,37.2	,
住户部门金融交易资金来源直接投资 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源其他对外债权债务 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源国际储备资产 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
住户部门金融交易资金来源国际收支错误与遗漏 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国内金融交易资金运用净金融投资 (亿元) 	,	,	,18668.8	,27814.0	,20309.0	,20168.3	,12254.0	,3211.0	,11127.0	,13020.9	,
国内金融交易资金运用资金运用 (亿元) 	,	,	,804217.1	,708455.0	,668956.0	,675375.4	,445066.8	,336289.2	,618826.0	,729738.3	,
国内金融交易资金运用资金来源 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国内金融交易资金运用通货 (亿元) 	,	,	,8293.9	,13744.0	,6556.0	,7448.6	,3974.6	,2250.5	,2344.0	,5076.1	,
国内金融交易资金运用存款 (亿元) 	,	,	,260366.5	,263776.0	,191951.0	,196204.0	,142246.4	,104972.5	,140263.0	,176240.5	,
国内金融交易资金运用贷款 (亿元) 	,	,	,217684.5	,211923.0	,176258.0	,184166.4	,157961.7	,125268.4	,178203.0	,158128.6	,
国内金融交易资金运用证券 (亿元) 	,	,	,	,	,	,	,	,	,	,174558.0	,
国内金融交易资金运用证券投资基金份额 (亿元) 	,	,	,23372.5	,18119.0	,43036.0	,30932.5	,7520.6	,17989.5	,21206.0	,11600.0	,
国内金融交易资金运用证券公司客户保证金 (亿元) 	,	,	,-1770.4	,39.0	,2644.0	,4550.2	,4898.0	,-1176.9	,-4482.0	,-6145.1	,
国内金融交易资金运用保险准备金 (亿元) 	,	,	,37682.4	,33239.0	,24433.0	,19001.5	,23543.3	,23226.0	,21065.0	,17936.4	,
国内金融交易资金运用未贴现的银行承兑汇票 (亿元) 	,	,	,-3568.5	,-6822.0	,-9832.0	,3491.8	,-9513.4	,-12685.7	,10762.0	,-39062.1	,
国内金融交易资金运用金融机构往来 (亿元) 	,	,	,19811.9	,9573.0	,11707.0	,21951.5	,-8430.1	,8283.0	,24886.0	,12245.2	,
国内金融交易资金运用准备金 (亿元) 	,	,	,17967.2	,14529.0	,-9764.0	,-2330.2	,-8547.3	,-9969.6	,10466.0	,26778.0	,
国内金融交易资金运用库存现金 (亿元) 	,	,	,-72.0	,68.0	,-203.0	,-156.6	,-276.3	,-515.7	,-148.0	,-74.2	,
国内金融交易资金运用中央银行贷款 (亿元) 	,	,	,33727.2	,5606.0	,-7911.0	,15612.1	,-4930.0	,9591.9	,24731.0	,38685.8	,
国内金融交易资金运用其他 (净) (亿元) 	,	,	,22807.0	,-17798.0	,35015.0	,-5795.0	,5761.8	,-59066.9	,66081.0	,156974.5	,
国内金融交易资金运用直接投资 (亿元) 	,	,	,13088.5	,10595.0	,8142.0	,7582.0	,6740.0	,6384.0	,6881.0	,14427.2	,
国内金融交易资金运用其他对外债权债务 (亿元) 	,	,	,4526.9	,1915.0	,7057.0	,4488.7	,-1352.7	,3897.3	,-229.0	,11838.8	,
国内金融交易资金运用国际储备资产 (亿元) 	,	,	,1129.0	,6723.0	,12165.0	,1931.7	,-1330.8	,1249.8	,6179.0	,-29469.4	,
国内金融交易资金运用国际收支错误与遗漏 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国内金融交易资金来源净金融投资 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国内金融交易资金来源资金运用 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国内金融交易资金来源资金来源 (亿元) 	,	,	,785548.3	,680641.0	,648647.0	,655207.1	,432812.8	,333078.2	,607699.0	,716717.3	,
国内金融交易资金来源通货 (亿元) 	,	,	,8703.4	,13745.0	,6510.0	,7125.1	,3981.0	,2562.8	,2342.0	,5087.3	,
国内金融交易资金来源存款 (亿元) 	,	,	,259241.8	,260772.0	,185292.0	,194162.9	,139960.4	,105210.3	,142153.0	,172181.8	,
国内金融交易资金来源贷款 (亿元) 	,	,	,218932.0	,214564.0	,176282.0	,178606.2	,156857.5	,125997.7	,175105.0	,152476.0	,
国内金融交易资金来源证券 (亿元) 	,	,	,	,	,	,	,	,	,	,171062.8	,
国内金融交易资金来源证券投资基金份额 (亿元) 	,	,	,24934.0	,19348.0	,46110.0	,33408.0	,7971.0	,18784.0	,21754.0	,11754.0	,
国内金融交易资金来源证券公司客户保证金 (亿元) 	,	,	,-1888.7	,42.0	,2833.0	,4914.3	,5191.3	,-1228.9	,-4598.0	,-6226.7	,
国内金融交易资金来源保险准备金 (亿元) 	,	,	,37682.4	,33239.0	,24433.0	,19001.5	,23543.3	,23226.0	,21065.0	,17936.4	,
国内金融交易资金来源未贴现的银行承兑汇票 (亿元) 	,	,	,-3568.5	,-6822.0	,-9832.0	,3491.8	,-9513.4	,-12685.7	,10762.0	,-39062.1	,
国内金融交易资金来源金融机构往来 (亿元) 	,	,	,22212.6	,13467.0	,1181.0	,9412.2	,-11057.6	,2201.3	,27545.0	,9692.1	,
国内金融交易资金来源准备金 (亿元) 	,	,	,19455.0	,15106.0	,-9695.0	,-2241.0	,-8837.6	,-9609.7	,10528.0	,26572.4	,
国内金融交易资金来源库存现金 (亿元) 	,	,	,-90.0	,-33.0	,-169.0	,-160.8	,-267.5	,-490.9	,-153.0	,-88.8	,
国内金融交易资金来源中央银行贷款 (亿元) 	,	,	,33727.2	,5606.0	,-7911.0	,15612.1	,-4930.0	,9591.9	,24731.0	,38685.8	,
国内金融交易资金来源其他 (净) (亿元) 	,	,	,22591.6	,-17858.0	,35152.0	,-5675.6	,5761.8	,-59066.9	,66081.0	,156974.5	,
国内金融交易资金来源直接投资 (亿元) 	,	,	,2337.4	,12756.0	,21713.0	,14655.8	,10748.9	,13465.9	,11358.0	,11328.8	,
国内金融交易资金来源其他对外债权债务 (亿元) 	,	,	,-2297.2	,-10550.0	,7254.0	,7800.9	,1738.7	,4087.4	,2145.0	,3135.9	,
国内金融交易资金来源国际储备资产 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国内金融交易资金来源国际收支错误与遗漏 (亿元) 	,	,	,-2081.9	,-3996.0	,-11498.0	,-12190.2	,-16086.4	,-10601.3	,-14982.0	,-14792.9	,
国外部门金融交易资金运用净金融投资 (亿元) 	,	,	,-18668.8	,-27814.0	,-20309.0	,-20168.3	,-12254.0	,-3211.0	,-11127.0	,-13021.2	,
国外部门金融交易资金运用资金运用 (亿元) 	,	,	,-1768.6	,-5065.0	,32367.0	,23716.3	,1558.2	,21412.9	,14412.0	,1421.1	,
国外部门金融交易资金运用资金来源 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金运用通货 (亿元) 	,	,	,409.5	,1.0	,-46.0	,-323.5	,6.4	,312.3	,-2.0	,11.2	,
国外部门金融交易资金运用存款 (亿元) 	,	,	,-923.3	,-2558.0	,2686.0	,6175.1	,3165.9	,642.5	,5226.0	,-936.2	,
国外部门金融交易资金运用贷款 (亿元) 	,	,	,-1769.6	,-1299.0	,575.0	,-1669.3	,-401.8	,1913.1	,394.0	,-2955.5	,
国外部门金融交易资金运用证券 (亿元) 	,	,	,	,	,	,	,	,	,	,2630.4	,
国外部门金融交易资金运用证券投资基金份额 (亿元) 	,	,	,1561.5	,1229.0	,3074.0	,2475.5	,450.4	,794.5	,548.0	,154.0	,
国外部门金融交易资金运用证券公司客户保证金 (亿元) 	,	,	,-118.3	,3.0	,189.0	,364.2	,293.3	,-52.0	,-116.0	,-81.6	,
国外部门金融交易资金运用保险准备金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金运用未贴现的银行承兑汇票 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金运用金融机构往来 (亿元) 	,	,	,-3354.6	,-2157.0	,-2418.0	,-4096.8	,-4385.8	,1360.4	,4127.0	,3132.8	,
国外部门金融交易资金运用准备金 (亿元) 	,	,	,1487.8	,577.0	,69.0	,89.2	,-290.3	,359.9	,62.0	,-205.9	,
国外部门金融交易资金运用库存现金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金运用中央银行贷款 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金运用其他 (净) (亿元) 	,	,	,-216.3	,-63.0	,117.0	,118.9	,	,	,	,	,
国外部门金融交易资金运用直接投资 (亿元) 	,	,	,2337.4	,12756.0	,21713.0	,14655.8	,10748.9	,13465.9	,11358.0	,11328.8	,
国外部门金融交易资金运用其他对外债权债务 (亿元) 	,	,	,-2297.2	,-10550.0	,7254.0	,7800.9	,1738.7	,4087.4	,2145.0	,3135.9	,
国外部门金融交易资金运用国际储备资产 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金运用国际收支错误与遗漏 (亿元) 	,	,	,-2081.9	,-3996.0	,-11498.0	,-12190.2	,-16086.4	,-10601.3	,-14982.0	,-14792.9	,
数据来源：国家统计局
