数据库：年度数据 
时间： 
成人专科招生数 (万人) 	,	,132.0912	,175.2733	,195.3752	,174.2306	,174.1338	,151.6568	,133.2739	,115.1321	,114.2903	,
在职人员攻读博士、硕士学位招生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
网络本专科生招生数 (万人) 	,	,149.9962	,163.4220	,280.8900	,283.9192	,277.9128	,288.5458	,320.9064	,286.1143	,229.6088	,
网络本科招生数 (万人) 	,	,61.0117	,60.7030	,128.9961	,118.6772	,107.2248	,100.6897	,104.4360	,99.3253	,84.7568	,
网络专科招生数 (万人) 	,	,88.9845	,102.7190	,151.8939	,165.2420	,170.6880	,187.8561	,216.4704	,186.7890	,144.8520	,
中等教育招生数 (万人) 	,	,	,	,	,	,3153.2006	,3078.7093	,2952.3486	,2929.7060	,2883.4280	,
高中阶段教育招生数 (万人) 	,	,1454.5329	,1421.8362	,1455.3013	,1455.2751	,1521.1042	,1439.8606	,1349.7555	,1382.4851	,1396.2617	,
高中招生数 (万人) 	,	,	,	,	,	,876.4435	,839.4949	,792.7063	,800.0548	,802.9206	,
普通高中招生数 (万人) 	,1074.9000	,1036.2025	,967.8010	,947.5448	,904.9538	,876.4435	,839.4949	,792.7063	,800.1000	,802.9000	,
完全中学高中阶段招生数 (万人) 	,	,303.24	,284.01	,280.51	,274.91	,265.36	,255.93	,241.56	,247.72	,251.08	,
高级中学招生数 (万人) 	,	,662.41	,617.63	,602.70	,568.95	,559.05	,537.57	,512.99	,516.92	,519.88	,
十二年一贯制学校高中阶段招生数 (万人) 	,	,64.33	,62.85	,61.15	,57.81	,52.03	,45.99	,38.16	,35.42	,31.96	,
成人高中招生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
中等职业教育招生数 (万人) 	,526.5000	,418.3304	,454.0352	,484.7810	,488.9890	,644.6607	,600.3657	,557.0492	,582.4000	,593.3000	,
普通中专招生数 (万人) 	,	,	,	,	,	,272.6906	,255.5022	,241.9344	,246.2485	,255.1840	,
成人中专招生数 (万人) 	,	,	,	,	,	,53.5320	,49.7336	,46.2495	,56.8771	,59.5252	,
