数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
高等教育在校学生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
研究生在校学生数 (万人) 	,430.0000	,409.5436	,388.2940	,365.3613	,333.2373	,313.9598	,286.3712	,273.1257	,263.9561	,198.1051	,
博士在校学生数 (万人) 	,	,67.6262	,61.2489	,55.6065	,50.9453	,46.6549	,42.4182	,38.9518	,36.1997	,34.2027	,
硕士在校学生数 (万人) 	,	,341.9174	,327.0451	,309.7548	,282.2920	,267.3049	,243.9530	,234.1739	,227.7564	,163.9024	,
普通、职业本专科在校学生数 (万人) 	,3954.0000	,3891.2568	,3775.0146	,	,	,	,	,	,	,	,
普通本科在校学生数 (万人) 	,	,2085.9138	,2034.6933	,1965.6436	,1893.1044	,1825.7460	,1750.8204	,1697.3343	,1648.6320	,1612.9535	,
专科在校学生数 (万人) 	,	,1764.6595	,1707.8521	,1670.8999	,1590.0966	,1459.5488	,1280.7058	,1133.7000	,1105.0000	,1082.9000	,
成人本专科在校学生数 (万人) 	,	,942.5958	,1008.2275	,933.6481	,832.6521	,777.2942	,668.5603	,590.9878	,544.1429	,584.3883	,
成人本科在校学生数 (万人) 	,	,596.8002	,600.0262	,527.7598	,459.1098	,405.1025	,341.3174	,297.1134	,258.9809	,268.6619	,
成人专科在校学生数 (万人) 	,	,345.7956	,408.2013	,405.8883	,373.5423	,372.1917	,327.2429	,293.8744	,285.1620	,315.7264	,
其他高等学历教育在校学生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
在职人员攻读博士、硕士学位在校学生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
网络本专科生在校学生数 (万人) 	,	,600.2718	,739.9703	,844.6500	,873.9006	,846.4464	,857.8345	,825.6553	,735.9267	,644.9329	,
网络本科在校学生数 (万人) 	,	,223.7865	,289.0562	,341.9642	,332.8548	,311.1899	,294.1610	,282.5757	,258.7338	,233.9270	,
网络专科在校学生数 (万人) 	,	,376.4853	,450.9141	,502.6858	,541.0458	,535.2565	,563.6735	,543.0796	,477.1929	,411.0059	,
中等教育在校学生数 (万人) 	,	,	,	,	,	,9082.0113	,8832.3364	,8602.7102	,8425.7502	,8327.4403	,
高中阶段教育在校学生数 (万人) 	,	,4151.6079	,4102.0889	,4089.1128	,3976.4220	,4163.0230	,3994.9000	,3934.6687	,3970.9871	,3970.0588	,
高中在校学生数 (万人) 	,	,	,	,	,	,2499.6545	,2418.4287	,2379.4053	,2378.4903	,2371.0461	,
普通高中在校学生数 (万人) 	,3039.5000	,2922.2814	,2803.6268	,2713.8747	,2605.0291	,2494.4529	,2414.3050	,2375.3709	,2374.5000	,2366.6000	,
完全中学高中阶段在校学生数 (万人) 	,	,859.54	,829.75	,810.69	,796.54	,758.35	,733.54	,724.62	,732.21	,734.13	,
高级中学在校学生数 (万人) 	,	,1872.25	,1794.33	,1734.22	,1646.46	,1601.22	,1560.83	,1544.95	,1547.27	,1546.94	,
十二年一贯制学校高中阶段在校学生数 (万人) 	,	,179.24	,171.15	,160.91	,153.27	,134.88	,119.93	,105.81	,95.06	,85.57	,
成人高中在校学生数 (万人) 	,	,	,	,	,	,5.2016	,4.1237	,4.0344	,3.9419	,4.3996	,
中等职业教育在校学生数 (万人) 	,1537.8000	,1229.3265	,1298.4621	,1339.2903	,1311.8146	,1663.3685	,1576.4713	,1555.2634	,1592.5000	,1599.0000	,
普通中专在校学生数 (万人) 	,	,	,	,	,	,735.4168	,703.5872	,699.4205	,712.9894	,718.1209	,
成人中专在校学生数 (万人) 	,	,	,	,	,	,112.6747	,106.8475	,113.1250	,127.2446	,141.1680	,
职业高中在校学生数 (万人) 	,	,	,	,	,	,419.7464	,405.7316	,401.0825	,414.0553	,416.5715	,
技工学校在校学生数 (万人) 	,	,428.7064	,439.4618	,445.4467	,426.7239	,395.5306	,360.3050	,341.6000	,338.2000	,323.2000	,
初中阶段教育在校学生数 (万人) 	,	,5386.1621	,5243.6916	,5120.5965	,5018.4373	,4918.9883	,4837.4364	,4668.0415	,4454.7631	,4357.3815	,
普通初中在校学生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
初级中学在校学生数 (万人) 	,	,3583.36	,3510.87	,3430.56	,3343.49	,3319.62	,3300.77	,3224.95	,3121.54	,3088.24	,
九年一贯制学校初中阶段在校学生数 (万人) 	,	,1006.4280	,954.9400	,914.1608	,886.9279	,838.5205	,789.3721	,725.6642	,658.5126	,601.1849	,
十二年一贯制学校初中阶段在校学生数 (万人) 	,	,155.80	,155.52	,158.85	,169.53	,158.37	,144.76	,126.23	,107.56	,94.38	,
完全中学初中阶段在校学生数 (万人) 	,	,630.55	,612.97	,607.31	,607.13	,597.36	,591.79	,575.54	,554.18	,545.19	,
职业初中在校学生数 (万人) 	,	,0.0326	,0.0305	,0.0715	,0.0724	,0.2170	,0.4447	,0.2100	,0.2700	,0.4000	,
成人初中在校学生数 (万人) 	,	,	,	,	,	,4.8990	,10.3002	,15.4561	,12.7001	,28.0131	,
初等教育在校学生数 (万人) 	,	,	,	,	,	,10750.8746	,10603.4691	,10412.5004	,10169.1216	,9996.2809	,
普通小学在校学生数 (万人) 	,10178.3000	,10584.3743	,10836.0253	,10732.0594	,10779.9349	,10725.3532	,10561.2358	,10339.2541	,10093.7000	,9913.0000	,
小学在校学生数 (万人) 	,	,8897.18	,9104.48	,8989.47	,8982.05	,9311.02	,9225.89	,9098.69	,8946.02	,8846.85	,
九年一贯制学校小学阶段在校学生数 (万人) 	,	,1344.95	,1339.11	,1301.60	,1302.83	,1255.41	,1191.94	,1114.07	,1038.43	,970.37	,
十二年一贯制学校小学阶段在校学生数 (万人) 	,	,156.12	,160.02	,162.76	,171.21	,158.92	,143.41	,126.50	,109.24	,95.79	,
成人小学在校学生数 (万人) 	,	,	,	,	,	,25.5214	,42.2333	,73.2463	,75.4236	,83.2683	,
扫盲班在校学生数 (万人) 	,	,	,	,	,	,13.4545	,16.8640	,22.9141	,30.4043	,33.4201	,
工读学校在校学生数 (万人) 	,	,	,	,	,	,0.6012	,0.6488	,0.6818	,0.6048	,0.7181	,
特殊教育在校学生数 (万人) 	,92.7000	,91.5948	,91.1981	,91.8502	,91.9767	,88.0800	,79.4612	,66.5942	,57.9000	,49.2000	,
学前教育在校学生数 (万人) 	,3225.5000	,3583.9937	,4092.9784	,4627.5486	,4805.2063	,4818.2634	,4713.8810	,4656.4204	,4600.1000	,4413.9000	,
高等教育毕业生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
研究生毕业生数 (万人) 	,116.7000	,108.3595	,101.4755	,86.2165	,77.2761	,72.8627	,63.9666	,60.4368	,57.8045	,56.3938	,
博士毕业生数 (万人) 	,	,9.7185	,8.7126	,8.2320	,7.2019	,6.6176	,6.2578	,6.0724	,5.8032	,5.5011	,
硕士毕业生数 (万人) 	,	,98.6410	,92.7629	,77.9845	,70.0742	,66.2451	,57.7088	,54.3644	,52.0013	,50.8927	,
普通、职业本专科毕业生数 (万人) 	,1105.1000	,1059.3802	,	,	,	,	,	,	,	,	,
普通本科毕业生数 (万人) 	,	,511.9577	,489.7422	,471.5658	,428.0970	,420.5097	,394.7157	,386.8358	,384.1839	,374.3680	,
