数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
国外部门金融交易资金来源净金融投资 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金来源资金运用 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金来源资金来源 (亿元) 	,	,	,16900.2	,22749.0	,52676.0	,43884.6	,13812.2	,24623.8	,25538.0	,14442.3	,
国外部门金融交易资金来源通货 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金来源存款 (亿元) 	,	,	,201.4	,446.0	,9345.0	,8216.2	,5451.8	,404.7	,3336.0	,3122.5	,
国外部门金融交易资金来源贷款 (亿元) 	,	,	,-3017.1	,-3941.0	,551.0	,3891.0	,702.4	,1183.8	,3492.0	,2697.1	,
国外部门金融交易资金来源证券 (亿元) 	,	,	,	,	,	,	,	,	,	,6125.6	,
国外部门金融交易资金来源证券投资基金份额 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金来源证券公司客户保证金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金来源保险准备金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金来源未贴现的银行承兑汇票 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金来源金融机构往来 (亿元) 	,	,	,-5755.3	,-6051.0	,8108.0	,8442.6	,-1758.4	,7442.1	,1468.0	,5685.9	,
国外部门金融交易资金来源准备金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金来源库存现金 (亿元) 	,	,	,18.0	,101.0	,-35.0	,4.2	,-8.9	,-24.9	,4.0	,14.6	,
国外部门金融交易资金来源中央银行贷款 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
国外部门金融交易资金来源其他 (净) (亿元) 	,	,	,-0.9	,-3.0	,-20.0	,-0.5	,	,	,	,	,
国外部门金融交易资金来源直接投资 (亿元) 	,	,	,13088.5	,10595.0	,8142.0	,7582.0	,6740.0	,6384.0	,6881.0	,14427.2	,
国外部门金融交易资金来源其他对外债权债务 (亿元) 	,	,	,4526.9	,1915.0	,7057.0	,4488.7	,-1352.7	,3897.3	,-229.0	,11838.8	,
国外部门金融交易资金来源国际储备资产 (亿元) 	,	,	,1129.0	,6723.0	,12165.0	,1931.7	,-1330.8	,1249.8	,6179.0	,-29469.4	,
国外部门金融交易资金来源国际收支错误与遗漏 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
年末总人口 (万人) 	,140489	,140828	,140967	,141175	,141260	,141212	,141008	,140541	,140011	,139232	,
男性人口 (万人) 	,71685	,71909	,72032	,72206	,72311	,72357	,72039	,71864	,71650	,71307	,
女性人口 (万人) 	,68804	,68919	,68935	,68969	,68949	,68855	,68969	,68677	,68361	,67925	,
城镇人口 (万人) 	,95380	,94350	,93267	,92071	,91425	,90220	,88426	,86433	,84343	,81924	,
乡村人口 (万人) 	,45109	,46478	,47700	,49104	,49835	,50992	,52582	,54108	,55668	,57308	,
人口出生率 (‰) 	,5.63	,6.77	,6.39	,6.77	,7.52	,8.52	,10.41	,10.86	,12.64	,13.57	,
人口死亡率 (‰) 	,8.04	,7.76	,7.87	,7.37	,7.18	,7.07	,7.09	,7.08	,7.06	,7.04	,
人口自然增长率 (‰) 	,-2.41	,-0.99	,-1.48	,-0.60	,0.34	,1.45	,3.32	,3.78	,5.58	,6.53	,
年末总人口 (万人) 	,140489	,140828	,140967	,141175	,141260	,141212	,141008	,140541	,140011	,139232	,
0-14岁人口 (万人) 	,	,22240	,23063	,23908	,24678	,25277	,23689	,23751	,23522	,23252	,
15-64岁人口 (万人) 	,	,96565	,96228	,96289	,96526	,96871	,99552	,100065	,100528	,100943	,
65岁及以上人口 (万人) 	,22365	,22023	,21676	,20978	,20056	,19064	,17767	,16724	,15961	,15037	,
总抚养比 (%) 	,	,45.8	,46.5	,46.6	,46.3	,45.9	,41.5	,40.4	,39.3	,37.9	,
少儿抚养比 (%) 	,	,23.0	,24.0	,24.8	,25.6	,26.2	,23.8	,23.7	,23.4	,22.9	,
老年抚养比 (%) 	,	,22.8	,22.5	,21.8	,20.8	,19.7	,17.8	,16.8	,15.9	,15.0	,
平均预期寿命 (岁) 	,	,	,	,	,	,77.93	,	,	,	,	,
男性平均预期寿命 (岁) 	,	,	,	,	,	,75.37	,	,	,	,	,
女性平均预期寿命 (岁) 	,	,	,	,	,	,80.88	,	,	,	,	,
人口普查总人口 (万人) 	,	,	,	,	,	,141177.87	,	,	,	,	,
人口普查男性人口数 (万人) 	,	,	,	,	,	,72334.00	,	,	,	,	,
人口普查女性人口数 (万人) 	,	,	,	,	,	,68844.00	,	,	,	,	,
人口普查性别比 (女=100) 	,	,	,	,	,	,105.07	,	,	,	,	,
人口普查城镇人口数 (万人) 	,	,	,	,	,	,90199.00	,	,	,	,	,
人口普查乡村人口数 (万人) 	,	,	,	,	,	,50979.00	,	,	,	,	,
人口普查家庭户规模 (人/户) 	,	,	,	,	,	,2.62	,	,	,	,	,
人口普查0-14岁人口占总人口比重 (%) 	,	,	,	,	,	,18.0	,	,	,	,	,
人口普查15-64岁人口占总人口比重 (%) 	,	,	,	,	,	,68.6	,	,	,	,	,
人口普查65岁及以上人口占总人口比重 (%) 	,	,	,	,	,	,13.5	,	,	,	,	,
人口普查汉族人口数 (万人) 	,	,	,	,	,	,128631.00	,	,	,	,	,
人口普查汉族占总人口比重 (%) 	,	,	,	,	,	,91.1	,	,	,	,	,
人口普查少数民族人口数 (万人) 	,	,	,	,	,	,12547.00	,	,	,	,	,
人口普查少数民族占总人口比重 (%) 	,	,	,	,	,	,8.9	,	,	,	,	,
人口普查每十万人口中受大专及以上教育人口数 (人) 	,	,	,	,	,	,15467	,	,	,	,	,
人口普查每十万人口中受高中和中专教育人口数 (人) 	,	,	,	,	,	,15088	,	,	,	,	,
人口普查每十万人口中受初中教育人口数 (人) 	,	,	,	,	,	,34507	,	,	,	,	,
人口普查每十万人口中受小学教育人口数 (人) 	,	,	,	,	,	,24767	,	,	,	,	,
人口普查文盲人口数 (万人) 	,	,	,	,	,	,3775.00	,	,	,	,	,
人口普查文盲率 (%) 	,	,	,	,	,	,2.7	,	,	,	,	,
人口普查城镇化率 (%) 	,	,	,	,	,	,63.9	,	,	,	,	,
人口普查平均预期寿命 (岁) 	,	,	,	,	,	,	,	,	,	,	,
人口普查男性平均预期寿命 (岁) 	,	,	,	,	,	,	,	,	,	,	,
人口普查女性平均预期寿命 (岁) 	,	,	,	,	,	,	,	,	,	,	,
就业人员 (万人) 	,72504	,73439	,74041	,73351	,74652	,75064	,75447	,75782	,76058	,76245	,
第一产业就业人员 (万人) 	,	,16298	,16882	,17663	,17072	,17715	,18652	,19515	,20295	,20908	,
第二产业就业人员 (万人) 	,	,21275	,21520	,21105	,21712	,21543	,21234	,21356	,21762	,22295	,
第三产业就业人员 (万人) 	,	,35866	,35639	,34583	,35868	,35806	,35561	,34911	,34001	,33042	,
就业人员 (万人) 	,72504	,73439	,74041	,73351	,74652	,75064	,75447	,75782	,76058	,76245	,
城镇就业人员 (万人) 	,47535	,47345	,47032	,45931	,46773	,46271	,45249	,44292	,43208	,42051	,
乡村就业人员 (万人) 	,	,26094	,27009	,27420	,27879	,28793	,30198	,31490	,32850	,34194	,
城镇就业人员 (万人) 	,47535	,47345	,47032	,45931	,46773	,46271	,45249	,44292	,43208	,42051	,
城镇非私营单位就业人员 (万人) 	,	,16511	,16368	,16701	,17015	,17039	,17162	,17258	,17644	,17888	,
内资单位就业人员 (万人) 	,	,14457	,14287	,14423	,14619	,14665	,14801	,14893	,15062	,15222	,
国有单位就业人员 (万人) 	,	,	,5400	,5612	,5633	,5563	,5473	,5740	,6064	,6170	,
城镇集体单位就业人员 (万人) 	,	,	,	,235	,262	,271	,296	,347	,406	,453	,
股份合作单位就业人员 (万人) 	,	,	,	,58	,62	,69	,60	,66	,77	,86	,
联营单位就业人员 (万人) 	,	,	,	,19	,22	,25	,12	,12	,13	,18	,
有限责任公司就业人员 (万人) 	,	,	,	,6506	,6526	,6542	,6608	,6555	,6367	,6381	,
股份有限公司就业人员 (万人) 	,	,	,	,1684	,1789	,1837	,1879	,1875	,1846	,1824	,
港澳台投资单位就业人员 (万人) 	,	,1051	,1093	,1114	,1175	,1159	,1157	,1153	,1290	,1305	,
外商投资单位就业人员 (万人) 	,	,1003	,988	,1164	,1220	,1216	,1203	,1212	,1291	,1361	,
私营企业城镇就业人员 (万人) 	,	,	,	,	,	,	,14567	,13952	,13327	,12083	,
个体城镇就业人员 (万人) 	,	,	,	,	,	,	,11692	,10440	,9348	,8627	,
乡村就业人员 (万人) 	,	,26094	,27009	,27420	,27879	,28793	,30198	,31490	,32850	,34194	,
私营企业乡村就业人员 (万人) 	,	,	,	,	,	,	,8267	,7424	,6554	,5914	,
个体乡村就业人员 (万人) 	,	,	,	,	,	,	,6000	,5597	,4878	,4235	,
进出口总额 (人民币) (亿元) 	,454685.00	,438233.92	,417510.10	,416727.80	,387391.80	,322215.20	,315627.30	,305010.10	,278099.20	,243386.50	,
出口总额 (人民币) (亿元) 	,269890.00	,254443.14	,237656.40	,236336.80	,214255.20	,179278.80	,172373.60	,164128.80	,153309.40	,138419.30	,
进口总额 (人民币) (亿元) 	,184795.00	,183790.78	,179853.70	,180391.00	,173136.60	,142936.40	,143253.70	,140881.30	,124789.80	,104967.20	,
进出口差额 (人民币) (亿元) 	,85094.00	,70652.40	,57802.60	,55945.80	,41118.70	,36342.40	,29119.90	,23247.50	,28519.60	,33452.10	,
进出口总额 (美元) (百万美元) 	,	,6159013.00	,5935980.00	,6250940.00	,5995430.00	,4655910.00	,4577890.00	,4622440.00	,4107140.00	,3685560.00	,
出口总额 (美元) (百万美元) 	,	,3575794.68	,3379040.00	,3544430.00	,3316020.00	,2589950.00	,2499480.00	,2486700.00	,2263340.00	,2097630.00	,
进口总额 (美元) (百万美元) 	,	,2583218.00	,2556940.00	,2706510.00	,2679410.00	,2065960.00	,2078410.00	,2135750.00	,1843790.00	,1587930.00	,
进出口差额 (美元) (百万美元) 	,	,992600.00	,822100.00	,837930.00	,636610.00	,523990.00	,421070.00	,350950.00	,419550.00	,509710.00	,
能源生产弹性系数 (-) 	,	,0.92	,0.67	,2.81	,0.58	,1.13	,0.59	,0.82	,0.54	,	,
电力生产弹性系数 (-) 	,	,1.34	,1.28	,1.19	,1.13	,1.61	,0.77	,1.25	,1.12	,0.81	,
能源消费弹性系数 (-) 	,	,0.86	,1.04	,1.00	,0.66	,1.00	,0.48	,0.51	,0.46	,0.25	,
