数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
非金融企业部门金融交易资金来源净金融投资 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源资金运用 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源资金来源 (亿元) 	,	,	,177248.6	,170125.0	,130094.0	,147711.5	,94134.3	,75712.0	,128791.0	,140243.4	,
非金融企业部门金融交易资金来源通货 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源存款 (亿元) 	,	,	,	,-4.0	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源贷款 (亿元) 	,	,	,168041.4	,148723.0	,90496.0	,95829.9	,67630.8	,49160.0	,113137.0	,110003.4	,
非金融企业部门金融交易资金来源证券 (亿元) 	,	,	,	,	,	,	,	,	,	,49750.9	,
非金融企业部门金融交易资金来源证券投资基金份额 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源证券公司客户保证金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源保险准备金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源未贴现的银行承兑汇票 (亿元) 	,	,	,-1784.2	,-3411.0	,-4916.0	,1745.9	,-4756.7	,-6342.9	,5381.0	,-19531.1	,
非金融企业部门金融交易资金来源金融机构往来 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源准备金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源库存现金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源中央银行贷款 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源其他 (净) (亿元) 	,	,	,2146.7	,-4360.0	,-7494.0	,-4070.3	,3655.0	,1798.6	,818.0	,1835.3	,
非金融企业部门金融交易资金来源直接投资 (亿元) 	,	,	,2167.8	,11899.0	,21713.0	,14655.8	,10748.9	,13465.9	,11358.0	,11328.8	,
非金融企业部门金融交易资金来源其他对外债权债务 (亿元) 	,	,	,-2180.6	,-2579.0	,2086.0	,489.0	,-1487.7	,3175.3	,549.0	,1648.9	,
非金融企业部门金融交易资金来源国际储备资产 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金来源国际收支错误与遗漏 (亿元) 	,	,	,-2081.9	,-3996.0	,-11498.0	,-12190.2	,-16086.4	,-10601.3	,-14982.0	,-14792.9	,
金融机构部门金融交易资金运用净金融投资 (亿元) 	,	,	,40008.0	,21619.0	,18135.0	,32096.2	,35147.2	,74253.4	,24744.0	,-10758.7	,
金融机构部门金融交易资金运用资金运用 (亿元) 	,	,	,484201.8	,387537.0	,363873.0	,364361.8	,228474.8	,185603.6	,381405.0	,450762.4	,
金融机构部门金融交易资金运用资金来源 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
金融机构部门金融交易资金运用通货 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
金融机构部门金融交易资金运用存款 (亿元) 	,	,	,22090.4	,11792.0	,23258.0	,-649.9	,-2204.5	,-11.6	,3976.0	,1728.5	,
金融机构部门金融交易资金运用贷款 (亿元) 	,	,	,217684.5	,211923.0	,176258.0	,184166.4	,157961.7	,125268.4	,178203.0	,158128.6	,
金融机构部门金融交易资金运用证券 (亿元) 	,	,	,	,	,	,	,	,	,	,160984.2	,
金融机构部门金融交易资金运用证券投资基金份额 (亿元) 	,	,	,4691.6	,3765.0	,8976.0	,5646.0	,1340.7	,2771.5	,5120.0	,2606.0	,
金融机构部门金融交易资金运用证券公司客户保证金 (亿元) 	,	,	,-355.4	,8.0	,552.0	,830.5	,873.2	,-181.3	,-1082.0	,-1380.6	,
金融机构部门金融交易资金运用保险准备金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
金融机构部门金融交易资金运用未贴现的银行承兑汇票 (亿元) 	,	,	,-1784.2	,-3411.0	,-4916.0	,1745.9	,-4756.7	,-6342.9	,5381.0	,-19531.1	,
金融机构部门金融交易资金运用金融机构往来 (亿元) 	,	,	,19811.9	,9573.0	,11707.0	,21951.5	,-8430.1	,8283.0	,24886.0	,12245.2	,
金融机构部门金融交易资金运用准备金 (亿元) 	,	,	,17967.2	,14529.0	,-9764.0	,-2330.2	,-8547.3	,-9969.6	,10466.0	,26778.0	,
金融机构部门金融交易资金运用库存现金 (亿元) 	,	,	,-72.0	,68.0	,-203.0	,-156.6	,-276.3	,-515.7	,-148.0	,-74.2	,
金融机构部门金融交易资金运用中央银行贷款 (亿元) 	,	,	,33727.2	,5606.0	,-7911.0	,15612.1	,-4930.0	,9591.9	,24731.0	,38685.8	,
金融机构部门金融交易资金运用其他 (净) (亿元) 	,	,	,23302.0	,-10547.0	,-11776.0	,-37857.4	,-20628.7	,-52397.9	,31765.0	,95429.6	,
金融机构部门金融交易资金运用直接投资 (亿元) 	,	,	,1481.4	,2452.0	,	,	,	,	,	,	,
金融机构部门金融交易资金运用其他对外债权债务 (亿元) 	,	,	,3790.6	,2969.0	,3197.0	,1948.5	,1192.5	,-422.8	,-1539.0	,4631.7	,
金融机构部门金融交易资金运用国际储备资产 (亿元) 	,	,	,1129.0	,6723.0	,12165.0	,1931.7	,-1330.8	,1249.8	,6179.0	,-29469.4	,
金融机构部门金融交易资金运用国际收支错误与遗漏 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
金融机构部门金融交易资金来源净金融投资 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
金融机构部门金融交易资金来源资金运用 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
