数据库：年度数据 
时间： 
指标	,2011年	,2010年	,2009年	,2008年	,2007年	,2006年	,2005年	,2004年	,2003年	,2002年	,
石油储量 (万吨) 	,323967.9	,317435.3	,294919.8	,289043.0	,283253.8	,275856.8	,248972.1	,249097.9	,243193.6	,242492.6	,
天然气储量 (亿立方米) 	,40206.4	,37793.2	,37074.2	,34049.6	,32123.6	,30009.2	,28185.4	,25292.6	,22288.7	,20169.0	,
煤炭储量 (亿吨) 	,2157.9	,2793.9	,3189.6	,3261.4	,3261.3	,3334.8	,3326.4	,3373.4	,3342.0	,3317.6	,
铁矿储量 (亿吨) 	,192.8	,222.0	,213.0	,226.4	,223.6	,220.9	,216.0	,217.6	,212.4	,213.6	,
锰矿储量 (万吨) 	,18240.9	,19515.6	,18576.6	,23439.5	,22443.7	,22855.8	,21539.9	,29658.5	,20709.0	,20142.3	,
铬矿储量 (万吨) 	,413.3	,442.1	,522.5	,577.1	,582.2	,521.4	,521.0	,537.1	,549.8	,567.5	,
钒矿储量 (万吨) 	,1230.6	,1242.6	,1258.9	,1276.6	,1309.4	,1404.4	,1323.5	,1304.9	,	,	,
原生钛铁矿储量 (万吨) 	,24585.4	,23043.0	,23291.4	,23294.5	,22541.9	,21379.5	,21410.4	,21385.0	,	,	,
铜矿储量 (万吨) 	,2812.4	,2870.7	,2951.0	,2891.0	,2932.1	,3069.9	,2856.4	,2929.0	,3003.0	,2966.9	,
铅矿储量 (万吨) 	,1291.7	,1272.0	,1340.1	,1359.6	,1345.9	,1351.4	,1393.4	,1314.7	,1248.0	,1251.1	,
锌矿储量 (万吨) 	,3124.4	,3251.4	,3838.5	,4281.7	,4250.3	,4227.1	,4269.1	,4151.5	,3762.5	,3756.0	,
铝土矿储量 (万吨) 	,105064.3	,89732.7	,83923.9	,73514.0	,75072.7	,74167.0	,73057.8	,72069.0	,69453.7	,71557.3	,
镍矿储量 (万吨) 	,272.0	,312.1	,281.8	,286.6	,299.2	,272.7	,270.7	,278.3	,293.7	,299.8	,
钨矿储量 (万吨) 	,156.7	,220.8	,228.7	,235.1	,240.9	,241.4	,260.5	,291.6	,286.6	,292.5	,
锡矿储量 (万吨) 	,138.8	,138.2	,143.5	,146.0	,152.3	,153.5	,155.5	,176.8	,178.6	,167.2	,
钼矿储量 (万吨) 	,586.1	,463.0	,444.8	,435.5	,431.7	,381.0	,363.4	,263.1	,345.5	,330.2	,
锑矿储量 (万吨) 	,55.8	,71.0	,76.5	,74.3	,95.0	,95.0	,95.3	,84.1	,87.5	,89.5	,
金矿储量 (吨) 	,1790.4	,1863.4	,1909.7	,1868.4	,1859.7	,1995.0	,1956.6	,2075.1	,1981.0	,1983.7	,
银矿储量 (吨) 	,36042.2	,36363.7	,38448.5	,40531.0	,43942.0	,45277.0	,59791.0	,37430.1	,38214.0	,34177.0	,
稀土矿储量 (万吨) 	,	,	,1859.1	,1773.2	,1837.1	,1905.9	,1968.5	,2093.6	,2099.3	,2152.0	,
菱镁矿储量 (万吨) 	,185163.4	,182936.8	,207981.8	,191951.9	,193161.0	,189714.1	,173831.3	,149660.4	,150149.8	,140393.4	,
普通萤石储量 (万吨) 	,3547.2	,4055.9	,4401.3	,4464.8	,3401.5	,3477.4	,2536.8	,2835.0	,3052.9	,3138.1	,
