数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
广义政府部门非金融交易资金运用劳动者报酬 (亿元) 	,	,	,104567.4	,103456.6	,95833.3	,91435.7	,86941.7	,81435.0	,76376.2	,67562.4	,
广义政府部门非金融交易资金运用生产税净额 (亿元) 	,	,	,653.3	,583.1	,490.0	,393.3	,357.9	,289.7	,270.4	,249.7	,
广义政府部门非金融交易资金运用财产收入 (亿元) 	,	,	,14547.9	,14592.6	,13490.7	,12887.0	,12026.9	,10485.1	,9637.5	,9208.0	,
广义政府部门非金融交易资金运用利息 (亿元) 	,	,	,12248.2	,12434.8	,11401.6	,10663.8	,9767.6	,8620.4	,7659.7	,7512.5	,
广义政府部门非金融交易资金运用其他财产收入 (亿元) 	,	,	,2299.6	,2157.8	,2089.1	,2223.3	,2259.3	,1864.7	,1977.8	,1695.5	,
广义政府部门非金融交易资金运用经常转移 (亿元) 	,	,	,88977.9	,82849.2	,78381.1	,73984.9	,69978.9	,64673.6	,46557.7	,42506.5	,
广义政府部门非金融交易资金运用社会保险福利 (亿元) 	,	,	,70896.5	,65947.0	,62503.8	,57360.0	,53980.0	,49586.7	,33233.5	,30045.0	,
广义政府部门非金融交易资金运用社会补助 (亿元) 	,	,	,17803.9	,16640.2	,15623.9	,16373.4	,15749.4	,14868.7	,13105.7	,12230.1	,
广义政府部门非金融交易资金运用其他经常转移 (亿元) 	,	,	,277.6	,262.0	,253.4	,251.5	,249.6	,218.2	,218.5	,231.5	,
广义政府部门非金融交易资金运用实际最终消费 (亿元) 	,	,	,131886.6	,123452.3	,117014.2	,113238.3	,108894.0	,101155.6	,88409.4	,78431.5	,
广义政府部门非金融交易资金运用政府实际最终消费 (亿元) 	,	,	,131886.6	,123452.3	,117014.2	,113238.3	,108894.0	,101155.6	,88409.4	,78431.5	,
广义政府部门非金融交易资金运用资本转移 (亿元) 	,	,	,10588.7	,10335.5	,14025.5	,14581.9	,12927.4	,11803.8	,9906.7	,9045.8	,
广义政府部门非金融交易资金运用投资性补助 (亿元) 	,	,	,10554.4	,10299.4	,14014.8	,14565.0	,12889.7	,11745.7	,9884.9	,9002.0	,
广义政府部门非金融交易资金运用其他资本转移 (亿元) 	,	,	,34.4	,36.1	,10.7	,16.9	,37.7	,58.2	,21.8	,43.8	,
广义政府部门非金融交易资金运用资本形成总额 (亿元) 	,	,	,89983.4	,77672.3	,73325.6	,66322.2	,53015.8	,51563.8	,49517.4	,39263.2	,
广义政府部门非金融交易资金运用固定资本形成总额 (亿元) 	,	,	,90232.6	,77430.1	,73089.3	,66156.2	,52939.4	,51515.3	,49129.0	,38937.0	,
广义政府部门非金融交易资金运用存货变动 (亿元) 	,	,	,-249.2	,242.1	,236.3	,166.0	,76.4	,48.5	,388.3	,326.3	,
广义政府部门非金融交易资金运用其他非金融资产获得减处置 (亿元) 	,	,	,-29833.3	,-32891.3	,-36879.0	,-33950.7	,-23941.8	,-18086.5	,-14346.0	,-10234.8	,
广义政府部门非金融交易资金运用净金融投资 (亿元) 	,	,	,-82058.3	,-56382.6	,-53517.2	,-77462.2	,-37160.7	,-28918.8	,-19341.8	,-13423.2	,
广义政府部门非金融交易资金运用实物社会转移 (亿元) 	,	,	,90587.6	,82170.4	,74920.1	,68937.7	,63623.3	,56436.2	,51423.7	,46407.7	,
广义政府部门非金融交易资金来源增加值 (亿元) 	,	,	,130978.2	,123563.6	,117681.1	,110398.8	,104920.6	,95675.2	,89456.6	,79035.7	,
广义政府部门非金融交易资金来源生产税净额 (亿元) 	,	,	,103970.7	,102960.5	,94425.9	,83860.0	,93517.5	,94503.1	,89429.1	,83022.2	,
广义政府部门非金融交易资金来源财产收入 (亿元) 	,	,	,30546.8	,31387.7	,24291.5	,23943.8	,27491.7	,21597.9	,21543.6	,22105.9	,
广义政府部门非金融交易资金来源利息 (亿元) 	,	,	,8208.5	,8176.7	,8005.5	,7639.6	,7608.6	,7243.9	,7114.8	,6818.7	,
广义政府部门非金融交易资金来源红利 (亿元) 	,	,	,7106.8	,7892.7	,5557.7	,6246.9	,11257.3	,6522.9	,6555.5	,8364.9	,
广义政府部门非金融交易资金来源地租 (亿元) 	,	,	,14885.0	,15009.8	,10501.6	,9851.8	,8496.2	,7691.4	,7822.0	,6877.4	,
广义政府部门非金融交易资金来源其他财产收入 (亿元) 	,	,	,346.6	,308.5	,226.6	,205.4	,129.6	,139.7	,51.3	,44.9	,
广义政府部门非金融交易资金来源初次分配总收入 (亿元) 	,	,	,145727.2	,139279.4	,126584.6	,113486.5	,126603.3	,119566.5	,114145.2	,107143.6	,
广义政府部门非金融交易资金来源经常转移 (亿元) 	,	,	,154392.2	,147910.3	,140668.8	,112154.2	,120718.6	,119041.2	,97966.5	,84832.1	,
广义政府部门非金融交易资金来源所得税、财产税等经常税 (亿元) 	,	,	,55886.9	,58627.3	,56043.7	,48002.1	,47702.6	,49227.8	,44115.2	,38985.3	,
广义政府部门非金融交易资金来源社会保险缴款 (亿元) 	,	,	,88748.8	,79504.4	,74270.5	,54848.0	,64049.0	,61347.8	,46085.8	,39023.9	,
广义政府部门非金融交易资金来源其他经常转移 (亿元) 	,	,	,9756.6	,9778.5	,10354.6	,9304.1	,8967.0	,8465.6	,7765.5	,6823.0	,
