数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
广义政府部门非金融交易资金来源可支配总收入 (亿元) 	,	,	,211141.5	,204340.5	,188872.3	,151655.8	,177343.0	,173934.1	,165554.0	,149469.2	,
广义政府部门非金融交易资金来源总储蓄 (亿元) 	,	,	,-11332.7	,-1282.1	,-3061.9	,-30520.2	,4825.6	,16342.4	,25720.9	,24630.0	,
广义政府部门非金融交易资金来源资本转移 (亿元) 	,	,	,13.2	,16.0	,16.8	,11.5	,15.0	,20.1	,15.4	,21.0	,
广义政府部门非金融交易资金来源其他资本转移 (亿元) 	,	,	,13.2	,16.0	,16.8	,11.5	,15.0	,20.1	,15.4	,21.0	,
广义政府部门非金融交易资金来源调整后可支配总收入 (亿元) 	,	,	,120553.9	,122170.1	,113952.2	,82718.0	,113719.6	,117497.9	,114130.3	,103061.5	,
住户部门非金融交易资金运用劳动者报酬 (亿元) 	,	,	,193372.9	,180524.4	,170689.1	,154161.3	,147682.7	,130000.0	,117113.2	,107426.6	,
住户部门非金融交易资金运用生产税净额 (亿元) 	,	,	,586.1	,-293.0	,247.9	,727.0	,1559.3	,1527.2	,1282.2	,1035.7	,
住户部门非金融交易资金运用财产收入 (亿元) 	,	,	,17760.3	,17609.0	,16593.1	,14496.8	,12944.6	,10782.1	,10046.4	,8573.3	,
住户部门非金融交易资金运用利息 (亿元) 	,	,	,17757.4	,17604.8	,16586.1	,14482.9	,12930.0	,10759.4	,10016.4	,8541.5	,
住户部门非金融交易资金运用地租 (亿元) 	,	,	,3.0	,4.2	,7.0	,13.9	,14.5	,22.7	,30.0	,31.8	,
住户部门非金融交易资金运用经常转移 (亿元) 	,	,	,118602.1	,108588.3	,102820.9	,79886.0	,87732.6	,87667.1	,70432.1	,59929.1	,
住户部门非金融交易资金运用所得税、财产税等经常税 (亿元) 	,	,	,15250.6	,15363.1	,14421.6	,11937.2	,10796.2	,14287.8	,12342.0	,10427.3	,
住户部门非金融交易资金运用社会保险缴款 (亿元) 	,	,	,88748.8	,79504.4	,74270.5	,54848.0	,64049.0	,61347.8	,46085.8	,39023.9	,
住户部门非金融交易资金运用其他经常转移 (亿元) 	,	,	,13843.0	,12886.1	,13387.4	,12489.6	,12243.5	,11503.7	,11465.6	,10009.4	,
住户部门非金融交易资金运用实际最终消费 (亿元) 	,	,	,602708.2	,548351.6	,525362.6	,463931.1	,459454.2	,420951.2	,381519.7	,344508.8	,
住户部门非金融交易资金运用居民实际最终消费 (亿元) 	,	,	,602708.2	,548351.6	,525362.6	,463931.1	,459454.2	,420951.2	,381519.7	,344508.8	,
住户部门非金融交易资金运用资本转移 (亿元) 	,	,	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,
住户部门非金融交易资金运用其他资本转移 (亿元) 	,	,	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,
住户部门非金融交易资金运用资本形成总额 (亿元) 	,	,	,109586.5	,107050.3	,125121.2	,115711.4	,111006.1	,108741.1	,98167.6	,98839.7	,
住户部门非金融交易资金运用固定资本形成总额 (亿元) 	,	,	,108147.7	,105281.0	,123395.1	,114423.9	,110583.9	,107742.3	,97994.3	,98694.1	,
住户部门非金融交易资金运用存货变动 (亿元) 	,	,	,1438.8	,1769.3	,1726.1	,1287.5	,422.3	,998.8	,173.3	,145.6	,
住户部门非金融交易资金运用其他非金融资产获得减处置 (亿元) 	,	,	,-20052.8	,-24074.6	,-34969.3	,-34925.2	,-35313.6	,-33731.3	,-26755.3	,-19088.0	,
住户部门非金融交易资金运用净金融投资 (亿元) 	,	,	,185236.3	,198904.5	,159237.0	,168742.2	,139038.2	,120021.1	,103930.7	,79200.9	,
住户部门非金融交易资金来源增加值 (亿元) 	,	,	,270998.3	,255966.3	,245886.1	,224362.3	,219066.8	,202628.3	,183350.5	,167710.9	,
住户部门非金融交易资金来源劳动者报酬 (亿元) 	,	,	,687736.0	,650204.4	,601351.1	,538447.4	,519988.1	,475562.8	,430722.2	,386100.1	,
住户部门非金融交易资金来源财产收入 (亿元) 	,	,	,59716.6	,56409.9	,55242.8	,49135.8	,44429.9	,39900.1	,37262.4	,31635.3	,
住户部门非金融交易资金来源利息 (亿元) 	,	,	,46218.6	,42959.9	,42915.9	,38432.8	,35223.3	,31552.8	,29348.4	,24113.7	,
住户部门非金融交易资金来源红利 (亿元) 	,	,	,6454.4	,5735.4	,4576.0	,3887.6	,3466.6	,3072.4	,2610.6	,2525.7	,
住户部门非金融交易资金来源其他财产收入 (亿元) 	,	,	,7043.6	,7714.6	,7750.8	,6815.5	,5740.0	,5274.9	,5303.4	,4995.9	,
住户部门非金融交易资金来源初次分配总收入 (亿元) 	,	,	,806731.6	,764740.2	,714949.8	,642560.3	,621298.3	,575781.9	,522893.3	,468410.7	,
住户部门非金融交易资金来源经常转移 (亿元) 	,	,	,98761.1	,91909.5	,87702.5	,81847.5	,76995.9	,71431.2	,52977.7	,48572.2	,
住户部门非金融交易资金来源社会保险福利 (亿元) 	,	,	,70896.5	,65947.0	,62503.8	,57360.0	,53980.0	,49586.7	,33233.5	,30045.0	,
住户部门非金融交易资金来源社会补助 (亿元) 	,	,	,18563.6	,17475.0	,16365.3	,16984.6	,16393.1	,15396.6	,13644.4	,12698.5	,
住户部门非金融交易资金来源其他经常转移 (亿元) 	,	,	,9301.0	,8487.5	,8833.4	,7502.9	,6622.8	,6447.9	,6099.8	,5828.7	,
住户部门非金融交易资金来源可支配总收入 (亿元) 	,	,	,786890.6	,748061.4	,699831.4	,644521.8	,610561.6	,559546.0	,505438.9	,457053.8	,
住户部门非金融交易资金来源总储蓄 (亿元) 	,	,	,274770.1	,281880.2	,249388.9	,249528.4	,214730.7	,195030.9	,175343.0	,158952.7	,
住户部门非金融交易资金来源实物社会转移 (亿元) 	,	,	,90587.6	,82170.4	,74920.1	,68937.7	,63623.3	,56436.2	,51423.7	,46407.7	,
住户部门非金融交易资金来源调整后可支配总收入 (亿元) 	,	,	,877478.2	,830231.8	,774751.4	,713459.6	,674184.9	,615982.1	,556862.7	,503461.5	,
国内非金融交易资金运用劳动者报酬 (亿元) 	,	,	,687230.1	,650022.6	,601440.9	,538432.4	,519774.4	,475027.4	,429710.8	,384728.2	,
国内非金融交易资金运用生产税净额 (亿元) 	,	,	,103970.7	,102960.5	,94425.9	,83860.0	,93517.5	,94503.1	,89429.1	,83022.2	,
国内非金融交易资金运用财产收入 (亿元) 	,	,	,229441.6	,223050.5	,213171.5	,189516.3	,175700.3	,156231.1	,151437.6	,142768.0	,
国内非金融交易资金运用利息 (亿元) 	,	,	,162725.7	,157251.0	,154792.0	,137671.9	,126630.1	,112552.5	,106926.5	,100022.3	,
国内非金融交易资金运用红利 (亿元) 	,	,	,44521.7	,42783.8	,39863.8	,34936.6	,34639.0	,30559.3	,31246.3	,30726.8	,
国内非金融交易资金运用地租 (亿元) 	,	,	,14885.0	,15009.8	,10501.6	,9851.8	,8496.2	,7691.4	,7822.0	,6877.4	,
国内非金融交易资金运用其他财产收入 (亿元) 	,	,	,7309.1	,8005.8	,8014.1	,7055.9	,5935.0	,5427.9	,5442.8	,5141.5	,
国内非金融交易资金运用经常转移 (亿元) 	,	,	,264787.4	,249588.9	,237460.2	,203141.7	,206601.3	,198636.5	,159661.4	,140897.1	,
国内非金融交易资金运用所得税、财产税等经常税 (亿元) 	,	,	,55886.9	,58627.3	,56043.7	,48002.1	,47702.6	,49227.8	,44115.2	,38985.3	,
国内非金融交易资金运用社会保险缴款 (亿元) 	,	,	,88748.8	,79504.4	,74270.5	,54848.0	,64049.0	,61347.8	,46085.8	,39023.9	,
国内非金融交易资金运用社会保险福利 (亿元) 	,	,	,70896.5	,65947.0	,62503.8	,57360.0	,53980.0	,49586.7	,33233.5	,30045.0	,
国内非金融交易资金运用社会补助 (亿元) 	,	,	,18563.6	,17475.0	,16365.3	,16984.6	,16393.1	,15396.6	,13644.4	,12698.5	,
国内非金融交易资金运用其他经常转移 (亿元) 	,	,	,30691.6	,28035.2	,28276.9	,25947.0	,24476.6	,23077.6	,22582.6	,20144.4	,
国内非金融交易资金运用实际最终消费 (亿元) 	,	,	,734594.8	,671803.9	,642376.7	,577169.4	,568348.2	,522106.7	,469929.1	,422940.3	,
国内非金融交易资金运用居民实际最终消费 (亿元) 	,	,	,602708.2	,548351.6	,525362.6	,463931.1	,459454.2	,420951.2	,381519.7	,344508.8	,
国内非金融交易资金运用政府实际最终消费 (亿元) 	,	,	,131886.6	,123452.3	,117014.2	,113238.3	,108894.0	,101155.6	,88409.4	,78431.5	,
国内非金融交易资金运用资本转移 (亿元) 	,	,	,10588.7	,10335.5	,14025.5	,14581.9	,12927.4	,11803.8	,9906.7	,9045.8	,
国内非金融交易资金运用投资性补助 (亿元) 	,	,	,10554.4	,10299.4	,14014.8	,14565.0	,12889.7	,11745.7	,9884.9	,9002.0	,
国内非金融交易资金运用其他资本转移 (亿元) 	,	,	,34.4	,36.1	,10.7	,16.9	,37.7	,58.2	,21.8	,43.8	,
国内非金融交易资金运用资本形成总额 (亿元) 	,	,	,532330.2	,522678.5	,501014.2	,440567.7	,429201.1	,405421.8	,360559.2	,320756.2	,
国内非金融交易资金运用固定资本形成总额 (亿元) 	,	,	,523590.3	,508826.5	,485400.7	,433086.0	,424984.6	,396684.6	,350973.2	,312702.5	,
国内非金融交易资金运用存货变动 (亿元) 	,	,	,8740.0	,13852.0	,15613.5	,7481.7	,4216.6	,8737.3	,9586.0	,8053.7	,
国内非金融交易资金运用净金融投资 (亿元) 	,	,	,18641.6	,30560.3	,23453.7	,9580.5	,6242.9	,4272.4	,14994.4	,13135.9	,
国内非金融交易资金运用实物社会转移 (亿元) 	,	,	,90587.6	,82170.4	,74920.1	,68937.7	,63623.3	,56436.2	,51423.7	,46407.7	,
国内非金融交易资金来源增加值 (亿元) 	,	,	,1294271.7	,1234029.4	,1173823.0	,1034867.6	,1005872.4	,936010.1	,847382.9	,761193.0	,
国内非金融交易资金来源劳动者报酬 (亿元) 	,	,	,687736.0	,650204.4	,601351.1	,538447.4	,519988.1	,475562.8	,430722.2	,386100.1	,
国内非金融交易资金来源生产税净额 (亿元) 	,	,	,103970.7	,102960.5	,94425.9	,83860.0	,93517.5	,94503.1	,89429.1	,83022.2	,
国内非金融交易资金来源财产收入 (亿元) 	,	,	,219437.8	,212546.1	,205255.0	,181385.6	,172722.6	,151658.1	,149336.0	,137695.0	,
国内非金融交易资金来源利息 (亿元) 	,	,	,165753.4	,157359.1	,160028.5	,142731.2	,132530.9	,118813.0	,116031.2	,107495.5	,
国内非金融交易资金来源红利 (亿元) 	,	,	,31242.6	,31947.5	,26535.0	,21606.4	,25687.0	,19608.6	,20010.5	,18157.7	,
数据来源：国家统计局
