数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
非金融企业部门非金融交易资金运用利息 (亿元) 	,	,	,44924.4	,42614.1	,39431.1	,35690.1	,32893.0	,28685.1	,29182.7	,26599.4	,
非金融企业部门非金融交易资金运用红利 (亿元) 	,	,	,38120.4	,35853.7	,34190.3	,29607.3	,25302.6	,25220.7	,27430.3	,23798.9	,
非金融企业部门非金融交易资金运用地租 (亿元) 	,	,	,14882.1	,15005.6	,10494.6	,9837.9	,8481.7	,7668.8	,7792.0	,6845.6	,
非金融企业部门非金融交易资金运用其他财产收入 (亿元) 	,	,	,19.0	,26.4	,8.3	,8.6	,6.1	,2.7	,4.3	,7.6	,
非金融企业部门非金融交易资金运用经常转移 (亿元) 	,	,	,38497.9	,40999.5	,39158.0	,33157.7	,33442.5	,32632.2	,29649.9	,25015.4	,
非金融企业部门非金融交易资金运用所得税、财产税等经常税 (亿元) 	,	,	,31207.2	,33956.1	,32304.7	,26991.5	,28030.6	,27247.2	,23838.2	,19838.2	,
非金融企业部门非金融交易资金运用社会补助 (亿元) 	,	,	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,
非金融企业部门非金融交易资金运用其他经常转移 (亿元) 	,	,	,7290.6	,7043.4	,6853.2	,6166.3	,5411.8	,5385.0	,5811.7	,5177.2	,
非金融企业部门非金融交易资金运用资本形成总额 (亿元) 	,	,	,326953.6	,333489.1	,297329.4	,253281.0	,260559.7	,241028.0	,209020.3	,178693.0	,
非金融企业部门非金融交易资金运用固定资本形成总额 (亿元) 	,	,	,319403.2	,321648.5	,283678.2	,247252.8	,256841.7	,233338.1	,199995.9	,171111.2	,
非金融企业部门非金融交易资金运用存货变动 (亿元) 	,	,	,7550.4	,11840.6	,13651.1	,6028.2	,3717.9	,7689.9	,9024.3	,7581.8	,
非金融企业部门非金融交易资金运用其他非金融资产获得减处置 (亿元) 	,	,	,49886.1	,56966.0	,71848.3	,68875.9	,59255.4	,51817.8	,41101.3	,29322.8	,
非金融企业部门非金融交易资金运用净金融投资 (亿元) 	,	,	,-120071.6	,-143839.6	,-108556.5	,-109346.4	,-115571.4	,-106908.2	,-91672.3	,-63376.0	,
非金融企业部门非金融交易资金来源增加值 (亿元) 	,	,	,798368.3	,766447.9	,723846.6	,618947.4	,606771.3	,567096.4	,509731.5	,454482.5	,
非金融企业部门非金融交易资金来源财产收入 (亿元) 	,	,	,39015.1	,38496.8	,40677.4	,32460.7	,32040.9	,30564.9	,31528.3	,29002.5	,
非金融企业部门非金融交易资金来源利息 (亿元) 	,	,	,23752.5	,22521.2	,26162.1	,22643.3	,21767.2	,21073.1	,21635.6	,22375.8	,
非金融企业部门非金融交易资金来源红利 (亿元) 	,	,	,15095.9	,15769.0	,14302.9	,9642.0	,10134.8	,9361.4	,9775.1	,6503.0	,
非金融企业部门非金融交易资金来源其他财产收入 (亿元) 	,	,	,166.6	,206.6	,212.4	,175.4	,138.9	,130.4	,117.7	,123.7	,
非金融企业部门非金融交易资金来源初次分配总收入 (亿元) 	,	,	,281093.0	,274201.6	,282821.5	,228661.5	,222453.6	,204832.9	,176579.3	,159066.7	,
非金融企业部门非金融交易资金来源经常转移 (亿元) 	,	,	,3618.5	,3113.9	,2942.8	,2741.6	,2342.9	,1991.1	,1635.0	,1586.4	,
非金融企业部门非金融交易资金来源其他经常转移 (亿元) 	,	,	,3618.5	,3113.9	,2942.8	,2741.6	,2342.9	,1991.1	,1635.0	,1586.4	,
非金融企业部门非金融交易资金来源可支配总收入 (亿元) 	,	,	,246213.7	,236316.0	,246606.4	,198245.4	,191354.0	,174191.9	,148564.4	,135637.8	,
非金融企业部门非金融交易资金来源总储蓄 (亿元) 	,	,	,246213.7	,236316.0	,246606.4	,198245.4	,191354.0	,174191.9	,148564.4	,135637.8	,
非金融企业部门非金融交易资金来源资本转移 (亿元) 	,	,	,10554.4	,10299.4	,14014.8	,14565.0	,12889.7	,11745.7	,9884.9	,9002.0	,
非金融企业部门非金融交易资金来源投资性补助 (亿元) 	,	,	,10554.4	,10299.4	,14014.8	,14565.0	,12889.7	,11745.7	,9884.9	,9002.0	,
非金融企业部门非金融交易资金来源调整后可支配总收入 (亿元) 	,	,	,246213.7	,236316.0	,246606.4	,198245.4	,191354.0	,174191.9	,148564.4	,135637.8	,
金融机构部门非金融交易资金运用劳动者报酬 (亿元) 	,	,	,23690.6	,22261.6	,22363.4	,20460.7	,20253.5	,18799.9	,17545.4	,17175.9	,
金融机构部门非金融交易资金运用生产税净额 (亿元) 	,	,	,9986.0	,9207.0	,8664.9	,7511.7	,6821.6	,6227.6	,6281.5	,7133.4	,
金融机构部门非金融交易资金运用财产收入 (亿元) 	,	,	,99187.5	,97349.1	,98963.3	,86988.5	,84045.4	,73386.7	,67344.3	,67735.1	,
金融机构部门非金融交易资金运用利息 (亿元) 	,	,	,87795.8	,84597.4	,87373.2	,76835.1	,71039.5	,64487.6	,60067.7	,57368.9	,
金融机构部门非金融交易资金运用红利 (亿元) 	,	,	,6401.2	,6930.1	,5673.5	,5329.3	,9336.4	,5338.6	,3816.0	,6927.9	,
金融机构部门非金融交易资金运用其他财产收入 (亿元) 	,	,	,4990.5	,5821.6	,5916.6	,4824.1	,3669.5	,3560.5	,3460.6	,3438.4	,
金融机构部门非金融交易资金运用经常转移 (亿元) 	,	,	,18709.5	,17152.0	,17100.2	,16113.1	,15447.4	,13663.6	,13021.7	,13446.0	,
金融机构部门非金融交易资金运用所得税、财产税等经常税 (亿元) 	,	,	,9429.0	,9308.2	,9317.4	,9073.5	,8875.7	,7692.9	,7935.0	,8719.7	,
金融机构部门非金融交易资金运用其他经常转移 (亿元) 	,	,	,9280.5	,7843.8	,7782.8	,7039.6	,6571.7	,5970.7	,5086.7	,4726.3	,
金融机构部门非金融交易资金运用资本形成总额 (亿元) 	,	,	,5806.8	,4466.9	,5238.1	,5253.0	,4619.6	,4088.9	,3853.9	,3960.2	,
金融机构部门非金融交易资金运用固定资本形成总额 (亿元) 	,	,	,5806.8	,4466.9	,5238.1	,5253.0	,4619.6	,4088.9	,3853.9	,3960.2	,
金融机构部门非金融交易资金运用净金融投资 (亿元) 	,	,	,35535.2	,31877.9	,26290.5	,27646.9	,19936.8	,20078.3	,22077.8	,10734.2	,
金融机构部门非金融交易资金来源增加值 (亿元) 	,	,	,93926.9	,88051.5	,86409.2	,81159.0	,75113.7	,70610.3	,64844.3	,59964.0	,
金融机构部门非金融交易资金来源财产收入 (亿元) 	,	,	,90159.3	,86251.7	,85043.3	,75845.4	,68760.1	,59595.1	,59001.7	,54951.3	,
金融机构部门非金融交易资金来源利息 (亿元) 	,	,	,87573.7	,83701.3	,82945.0	,74015.5	,67931.7	,58943.2	,57932.4	,54187.3	,
金融机构部门非金融交易资金来源红利 (亿元) 	,	,	,2585.6	,2550.4	,2098.3	,1829.9	,828.3	,651.9	,1069.3	,764.0	,
金融机构部门非金融交易资金来源初次分配总收入 (亿元) 	,	,	,51222.1	,45485.5	,41460.9	,42043.5	,32753.3	,31791.1	,32674.9	,22870.9	,
金融机构部门非金融交易资金来源经常转移 (亿元) 	,	,	,8829.3	,8011.2	,7167.8	,6969.5	,7250.5	,6039.7	,6278.6	,5269.5	,
金融机构部门非金融交易资金来源其他经常转移 (亿元) 	,	,	,8829.3	,8011.2	,7167.8	,6969.5	,7250.5	,6039.7	,6278.6	,5269.5	,
金融机构部门非金融交易资金来源可支配总收入 (亿元) 	,	,	,41341.9	,36344.8	,31528.6	,32899.9	,24556.4	,24167.2	,25931.7	,14694.4	,
金融机构部门非金融交易资金来源总储蓄 (亿元) 	,	,	,41341.9	,36344.8	,31528.6	,32899.9	,24556.4	,24167.2	,25931.7	,14694.4	,
金融机构部门非金融交易资金来源调整后可支配总收入 (亿元) 	,	,	,41341.9	,36344.8	,31528.6	,32899.9	,24556.4	,24167.2	,25931.7	,14694.4	,
广义政府部门非金融交易资金运用劳动者报酬 (亿元) 	,	,	,104567.4	,103456.6	,95833.3	,91435.7	,86941.7	,81435.0	,76376.2	,67562.4	,
广义政府部门非金融交易资金运用生产税净额 (亿元) 	,	,	,653.3	,583.1	,490.0	,393.3	,357.9	,289.7	,270.4	,249.7	,
数据来源：国家统计局
