数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
非金融交易资金运用劳动者报酬 (亿元) 	,	,	,688820.6	,651406.4	,602544.8	,539446.5	,520757.3	,476220.2	,431178.4	,386512.7	,
非金融交易资金运用生产税净额 (亿元) 	,	,	,103970.7	,102960.5	,94425.9	,83860.0	,93517.5	,94503.1	,89429.1	,83022.2	,
非金融交易资金运用财产收入 (亿元) 	,	,	,248999.1	,239929.2	,233200.0	,205433.6	,193545.9	,172783.8	,169524.4	,156025.3	,
非金融交易资金运用利息 (亿元) 	,	,	,169902.4	,160916.4	,162808.8	,145945.4	,135917.1	,121068.0	,116880.2	,108261.1	,
非金融交易资金运用红利 (亿元) 	,	,	,56574.9	,55715.2	,51657.2	,42383.6	,43074.2	,38459.4	,39332.5	,35708.0	,
非金融交易资金运用地租 (亿元) 	,	,	,14885.0	,15009.8	,10501.6	,9851.8	,8496.2	,7691.4	,7822.0	,6877.4	,
非金融交易资金运用其他财产收入 (亿元) 	,	,	,7636.7	,8287.8	,8232.4	,7252.7	,6058.4	,5565.0	,5489.7	,5178.8	,
非金融交易资金运用经常转移 (亿元) 	,	,	,267173.5	,252573.9	,240605.1	,205616.2	,208387.9	,200469.5	,161563.8	,142947.0	,
非金融交易资金运用所得税、财产税等经常税 (亿元) 	,	,	,55886.9	,58627.3	,56043.7	,48002.1	,47702.6	,49227.8	,44115.2	,38985.3	,
非金融交易资金运用社会保险缴款 (亿元) 	,	,	,88748.8	,79504.4	,74270.5	,54848.0	,64049.0	,61347.8	,46085.8	,39023.9	,
非金融交易资金运用社会保险福利 (亿元) 	,	,	,70896.5	,65947.0	,62503.8	,57360.0	,53980.0	,49586.7	,33233.5	,30045.0	,
非金融交易资金运用社会补助 (亿元) 	,	,	,18563.6	,17475.0	,16365.3	,16984.6	,16393.1	,15396.6	,13644.4	,12698.5	,
非金融交易资金运用其他经常转移 (亿元) 	,	,	,33077.7	,31020.2	,31421.8	,28421.4	,26263.2	,24910.6	,24484.9	,22194.4	,
非金融交易资金运用实际最终消费 (亿元) 	,	,	,734594.8	,671803.9	,642376.7	,577169.4	,568348.2	,522106.7	,469929.1	,422940.3	,
非金融交易资金运用居民实际最终消费 (亿元) 	,	,	,602708.2	,548351.6	,525362.6	,463931.1	,459454.2	,420951.2	,381519.7	,344508.8	,
非金融交易资金运用政府实际最终消费 (亿元) 	,	,	,131886.6	,123452.3	,117014.2	,113238.3	,108894.0	,101155.6	,88409.4	,78431.5	,
非金融交易资金运用资本转移 (亿元) 	,	,	,10602.0	,10351.6	,14042.3	,14593.4	,12942.4	,11823.9	,9922.1	,9066.8	,
非金融交易资金运用投资性补助 (亿元) 	,	,	,10554.4	,10299.4	,14014.8	,14565.0	,12889.7	,11745.7	,9884.9	,9002.0	,
非金融交易资金运用其他资本转移 (亿元) 	,	,	,47.6	,52.2	,27.5	,28.4	,52.7	,78.2	,37.2	,64.8	,
非金融交易资金运用资本形成总额 (亿元) 	,	,	,532330.2	,522678.5	,501014.2	,440567.7	,429201.1	,405421.8	,360559.2	,320756.2	,
非金融交易资金运用固定资本形成总额 (亿元) 	,	,	,523590.3	,508826.5	,485400.7	,433086.0	,424984.6	,396684.6	,350973.2	,312702.5	,
非金融交易资金运用存货变动 (亿元) 	,	,	,8740.0	,13852.0	,15613.5	,7481.7	,4216.6	,8737.3	,9586.0	,8053.7	,
非金融交易资金运用净金融投资 (亿元) 	,	,	,170.2	,616.5	,713.3	,-7377.4	,-850.4	,2428.8	,2316.2	,520.9	,
非金融交易资金运用实物社会转移 (亿元) 	,	,	,90587.6	,82170.4	,74920.1	,68937.7	,63623.3	,56436.2	,51423.7	,46407.7	,
非金融交易资金来源净出口 (亿元) 	,	,	,-27176.5	,-38930.5	,-29718.8	,-24507.9	,-9173.5	,-6052.8	,-14578.4	,-16975.6	,
非金融交易资金来源增加值 (亿元) 	,	,	,1294271.7	,1234029.4	,1173823.0	,1034867.6	,1005872.4	,936010.1	,847382.9	,761193.0	,
非金融交易资金来源劳动者报酬 (亿元) 	,	,	,688820.6	,651406.4	,602544.8	,539446.5	,520757.3	,476220.2	,431178.4	,386512.7	,
非金融交易资金来源生产税净额 (亿元) 	,	,	,103970.7	,102960.5	,94425.9	,83860.0	,93517.5	,94503.1	,89429.1	,83022.2	,
非金融交易资金来源财产收入 (亿元) 	,	,	,248999.1	,239929.2	,233200.0	,205433.6	,193545.9	,172783.8	,169524.4	,156025.3	,
非金融交易资金来源利息 (亿元) 	,	,	,169902.4	,160916.4	,162808.8	,145945.4	,135917.1	,121068.0	,116880.2	,108261.1	,
非金融交易资金来源红利 (亿元) 	,	,	,56574.9	,55715.2	,51657.2	,42383.6	,43074.2	,38459.4	,39332.5	,35708.0	,
非金融交易资金来源地租 (亿元) 	,	,	,14885.0	,15009.8	,10501.6	,9851.8	,8496.2	,7691.4	,7822.0	,6877.4	,
非金融交易资金来源其他财产收入 (亿元) 	,	,	,7636.7	,8287.8	,8232.4	,7252.7	,6058.4	,5565.0	,5489.7	,5178.8	,
非金融交易资金来源初次分配总收入 (亿元) 	,	,	,1284773.9	,1223706.8	,1165816.8	,1026751.9	,1003108.4	,931972.5	,846292.7	,757492.0	,
非金融交易资金来源经常转移 (亿元) 	,	,	,267173.5	,252573.9	,240605.1	,205616.2	,208387.9	,200469.5	,161563.8	,142947.0	,
非金融交易资金来源所得税、财产税等经常税 (亿元) 	,	,	,55886.9	,58627.3	,56043.7	,48002.1	,47702.6	,49227.8	,44115.2	,38985.3	,
非金融交易资金来源社会保险缴款 (亿元) 	,	,	,88748.8	,79504.4	,74270.5	,54848.0	,64049.0	,61347.8	,46085.8	,39023.9	,
非金融交易资金来源社会保险福利 (亿元) 	,	,	,70896.5	,65947.0	,62503.8	,57360.0	,53980.0	,49586.7	,33233.5	,30045.0	,
非金融交易资金来源社会补助 (亿元) 	,	,	,18563.6	,17475.0	,16365.3	,16984.6	,16393.1	,15396.6	,13644.4	,12698.5	,
非金融交易资金来源其他经常转移 (亿元) 	,	,	,33077.7	,31020.2	,31421.8	,28421.4	,26263.2	,24910.6	,24484.9	,22194.4	,
非金融交易资金来源可支配总收入 (亿元) 	,	,	,1285587.7	,1225062.7	,1166838.6	,1027322.9	,1003814.9	,931839.1	,845489.1	,756855.2	,
非金融交易资金来源总储蓄 (亿元) 	,	,	,532500.5	,523295.0	,501727.5	,433190.3	,428350.7	,407850.6	,362875.4	,321277.1	,
非金融交易资金来源资本转移 (亿元) 	,	,	,10602.0	,10351.6	,14042.3	,14593.4	,12942.4	,11823.9	,9922.1	,9066.8	,
非金融交易资金来源投资性补助 (亿元) 	,	,	,10554.4	,10299.4	,14014.8	,14565.0	,12889.7	,11745.7	,9884.9	,9002.0	,
非金融交易资金来源其他资本转移 (亿元) 	,	,	,47.6	,52.2	,27.5	,28.4	,52.7	,78.2	,37.2	,64.8	,
非金融交易资金来源实物社会转移 (亿元) 	,	,	,90587.6	,82170.4	,74920.1	,68937.7	,63623.3	,56436.2	,51423.7	,46407.7	,
非金融交易资金来源调整后可支配总收入 (亿元) 	,	,	,1285587.7	,1225062.7	,1166838.6	,1027322.9	,1003814.9	,931839.1	,845489.1	,756855.2	,
非金融企业部门非金融交易资金运用劳动者报酬 (亿元) 	,	,	,365599.1	,343780.0	,312555.1	,272374.6	,264896.4	,244792.6	,218676.1	,192563.3	,
非金融企业部门非金融交易资金运用生产税净额 (亿元) 	,	,	,92745.4	,93463.4	,85023.1	,75228.0	,84778.7	,86458.6	,81595.0	,74603.4	,
非金融企业部门非金融交易资金运用财产收入 (亿元) 	,	,	,97945.9	,93499.9	,84124.3	,75144.0	,66683.5	,61577.2	,64409.4	,57251.6	,
