数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
高等教育学校数 (所) 	,	,3119	,	,	,	,	,	,	,	,	,
研究生培养机构学校数 (所) 	,	,	,	,	,	,827	,828	,815	,815	,793	,
普通高校研究生培养机构学校数 (所) 	,	,	,	,	,	,594	,593	,580	,578	,576	,
科研机构研究生培养机构学校数 (所) 	,	,	,	,	,	,233	,235	,235	,237	,217	,
普通、职业高等学校数 (所) 	,	,	,2822	,2760	,2756	,2738	,2688	,2663	,2631	,2596	,
普通本科学校数 (所) 	,	,1257	,1242	,1239	,1238	,1270	,1265	,1245	,1243	,1237	,
高职 (专科) 学校 (所) 	,	,1562	,1547	,1489	,1486	,1468	,1423	,1418	,1388	,1359	,
职业技术学院学校数 (个) 	,	,	,	,	,	,	,	,	,	,	,
其他机构 (教学点) 学校数 (所) 	,	,	,	,4	,21	,21	,21	,22	,24	,25	,
独立学院学校数 (所) 	,	,154	,164	,164	,164	,241	,257	,265	,265	,266	,
成人高等学校学校数 (所) 	,	,249	,252	,253	,256	,265	,268	,277	,282	,284	,
民办的其他高等教育机构学校数 (所) 	,	,	,	,	,15	,786	,782	,784	,800	,813	,
中等教育学校数 (所) 	,	,	,	,	,	,77455	,77270	,76746	,77018	,77398	,
高中阶段教育学校数 (所) 	,	,22617	,22466	,22227	,21879	,24457	,24375	,24320	,24618	,24711	,
高中学校数 (所) 	,	,	,	,	,	,14561	,14297	,14091	,13947	,13818	,
普通高中学校数 (所) 	,	,15755	,15381	,15026	,14585	,14235	,13964	,13737	,13555	,13383	,
完全中学数 (所) 	,	,5275	,5277	,5285	,5384	,5353	,5392	,5412	,5460	,5479	,
高级中学数 (所) 	,	,8658	,8308	,7978	,7407	,7202	,7003	,6898	,6780	,6706	,
十二年一贯制学校数 (所) 	,	,1822	,1796	,1763	,1794	,1680	,1569	,1427	,1315	,1198	,
成人高中学校数 (所) 	,	,	,	,	,	,326	,333	,354	,392	,435	,
中等职业教育学校数 (所) 	,	,6862	,7085	,7201	,7294	,9896	,10078	,10229	,10671	,10893	,
普通中专学校数 (所) 	,	,	,	,	,	,3266	,3339	,3322	,3346	,3398	,
成人中专学校数 (所) 	,	,	,	,	,	,991	,1032	,1097	,1218	,1243	,
职业高中学校数 (所) 	,	,	,	,	,	,3216	,3315	,3431	,3617	,3726	,
技工学校学校数 (所) 	,	,2440	,2468	,2551	,2492	,2423	,2392	,2379	,2490	,2526	,
其他机构 (教学点) 学校数 (所) 	,	,	,234	,269	,297	,348	,286	,285	,312	,342	,
初中阶段教育学校数 (所) 	,	,52054	,52348	,52480	,52871	,52998	,52895	,52426	,52400	,52687	,
普通初中学校数 (所) 	,	,	,	,	,	,	,	,	,	,	,
初级中学数 (所) 	,	,33572	,34014	,34304	,34629	,34895	,35038	,35275	,35696	,36471	,
九年一贯制学校数 (所) 	,	,18478	,18330	,18168	,18233	,17900	,17366	,16696	,16183	,15631	,
十二年一贯制普通初中学校数 (所) 	,	,	,	,	,	,	,	,	,	,	,
普通初中完全中学数 (所) 	,	,	,	,	,	,	,	,	,	,	,
职业初中学校数 (所) 	,	,4	,4	,8	,9	,10	,11	,11	,15	,16	,
成人初中学校数 (所) 	,	,	,	,	,	,193	,480	,444	,506	,569	,
初等教育学校数 (所) 	,	,	,	,	,	,162601	,166389	,170209	,176718	,189435	,
普通小学学校数 (所) 	,	,136332	,143472	,149117	,154279	,157979	,160148	,161811	,167009	,177633	,
小学学校数 (所) 	,	,136332	,143472	,149117	,154279	,157979	,160148	,161811	,167009	,177633	,
九年一贯制普通小学学校数 (所) 	,	,	,	,	,	,	,	,	,	,	,
十二年一贯制普通小学学校数 (所) 	,	,	,	,	,	,	,	,	,	,	,
成人小学学校数 (所) 	,	,	,	,	,	,4622	,6241	,8398	,9709	,11802	,
扫盲班学校数 (所) 	,	,	,	,	,	,2754	,3828	,5211	,6587	,8289	,
工读学校学校数 (所) 	,	,	,	,	,	,95	,94	,92	,93	,89	,
