数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
房地产业法人单位数 (个) 	,	,1060133	,1042264	,1115183	,1038260	,933969	,811663	,744924	,642893	,533557	,
租赁和商务服务业法人单位数 (个) 	,	,1060133	,4609109	,4432416	,3876456	,3394995	,2825375	,2551306	,2242096	,1768005	,
科学研究和技术服务业法人单位数 (个) 	,	,2535227	,2117795	,2439143	,2053759	,1738335	,1390741	,1275579	,1035170	,813251	,
水利、环境和公共设施管理业法人单位数 (个) 	,	,232846	,223244	,286257	,250799	,216714	,172856	,148860	,146295	,122367	,
居民服务、修理和其他服务业法人单位数 (个) 	,	,962827	,901638	,758665	,667130	,598808	,522903	,497292	,420667	,359932	,
教育法人单位数 (个) 	,	,821758	,817923	,816766	,793247	,769578	,698893	,665883	,517739	,486026	,
卫生和社会工作法人单位数 (个) 	,	,368310	,337213	,320513	,296031	,299142	,279155	,272504	,286858	,275554	,
文化、体育和娱乐业法人单位数 (个) 	,	,938681	,817224	,861807	,766821	,686805	,585224	,566593	,414973	,341182	,
公共管理、社会保障和社会组织法人单位数 (个) 	,	,1518899	,1520454	,1540074	,1528922	,1600853	,1593030	,1597010	,1590535	,1599879	,
国际组织法人单位数 (个) 	,	,	,	,	,	,	,	,	,	,	,
企业法人单位数 (个) 	,	,33570060	,	,	,	,	,	,	,	,	,
国有控股企业法人单位数 (个) 	,	,328925	,	,361996	,323277	,293473	,266434	,	,325800	,310992	,
集体控股企业法人单位数 (个) 	,	,152328	,	,195375	,187668	,180550	,172503	,	,249946	,243393	,
私人控股企业法人单位数 (个) 	,	,32780203	,	,31491401	,27545002	,23903057	,19811755	,	,16204143	,12537206	,
港、澳、台商控股企业法人单位数 (个) 	,	,154582	,	,141236	,135201	,131106	,123562	,	,113103	,103849	,
外商控股企业法人单位数 (个) 	,	,124810	,	,115304	,109043	,102477	,92856	,	,111628	,99987	,
其他企业法人单位数 (个) 	,	,29212	,	,523422	,365021	,444793	,624160	,	,1093062	,1323021	,
企业法人单位数 (个) 	,	,33570060	,	,	,	,	,	,	,	,	,
内资企业法人单位数 (个) 	,	,33273852	,	,	,	,	,	,	,	,	,
国有企业法人单位数 (个) 	,	,	,	,83287	,78357	,82155	,74547	,	,133223	,132373	,
集体企业法人单位数 (个) 	,	,	,	,106805	,103534	,106926	,103163	,	,155641	,141442	,
股份合作企业法人单位数 (个) 	,	,	,	,33315	,31729	,31119	,28333	,	,62350	,67654	,
联营企业法人单位数 (个) 	,	,	,	,6109	,5631	,5973	,5657	,	,16550	,20094	,
有限责任公司法人单位数 (个) 	,	,30326431	,	,	,	,	,	,	,	,	,
股份有限公司法人单位数 (个) 	,	,107511	,	,	,	,	,	,	,	,	,
私营企业法人单位数 (个) 	,	,	,	,30008786	,26288321	,22835565	,18921928	,	,14368860	,10500697	,
港、澳、台商投资企业法人单位数 (个) 	,	,165641	,	,	,	,	,	,	,	,	,
外商投资企业法人单位数 (个) 	,	,130567	,	,	,	,	,	,	,	,	,
企业法人单位数 (个) 	,	,33570060	,	,	,	,	,	,	,	,	,
内资企业法人单位数 (个) 	,	,33273852	,	,	,	,	,	,	,	,	,
有限责任公司法人单位数 (个) 	,	,30326431	,	,	,	,	,	,	,	,	,
股份有限公司法人单位数 (个) 	,	,107511	,	,	,	,	,	,	,	,	,
非公司企业法人单位数(个)	,	,133128	,	,	,	,	,	,	,	,	,
个人独资企业法人单位数(个)	,	,2402786	,	,	,	,	,	,	,	,	,
合伙企业法人单位数(个)	,	,303196	,	,	,	,	,	,	,	,	,
其他内资企业法人单位数(个)	,	,800	,	,	,	,	,	,	,	,	,
港澳台投资企业法人单位数(个)	,	,165641	,	,	,	,	,	,	,	,	,
外商投资企业法人单位数 (个) 	,	,130567	,	,	,	,	,	,	,	,	,
民族自治地方地级区划数 (个) 	,	,77	,77	,77	,77	,77	,77	,77	,77	,77	,
民族自治地方地级市数 (个) 	,	,38	,38	,38	,38	,38	,38	,38	,38	,34	,
民族自治地方自治州数 (个) 	,	,30	,30	,30	,30	,30	,30	,30	,30	,30	,
民族自治地方县级区划数 (个) 	,	,715	,714	,714	,715	,713	,713	,711	,711	,709	,
民族自治地方县级市数 (个) 	,	,92	,89	,84	,89	,84	,83	,78	,77	,74	,
民族自治地方自治县 (旗) 数 (个) 	,	,120	,120	,120	,120	,120	,120	,120	,120	,120	,
民族自治地方总人口数 (万人) 	,	,	,	,	,	,19089.32	,19218.39	,19141.30	,18943.33	,21566.93	,
民族自治地方少数民族人口数 (万人) 	,	,	,	,	,	,9269.22	,9801.26	,9774.64	,9804.55	,9467.39	,
蒙古族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
回族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
藏族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
维吾尔族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
苗族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
彝族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
壮族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
注：1. 乡级区划总数包含河北省、新疆维吾尔自治区的各一个区公所。
2. 人口数字为年平均人口数。
3. 2003年起水果产量含果用瓜。
4. 2000-2006年猪牛羊肉数据根据农业普查结果进行了修订。
5. 1997-2006年水产品数据根据农业普查结果进行了修订。
6. 根据经济普查数据和相关统计资料对2013年、2018年第一产业法人单位数进行了修订。
7. 根据经济普查数据和相关统计资料对2013年各类型法人单位数进行了修订。
8. 2004年及以后各年份数据不包括国际组织法人单位数据
9. 2004年、2008年、2013年、2018年主要行业法人单位数为经济普查数据，根据相关统计资料对以上年份的农、林、牧、渔业法人单位数及其法人单位合计数进行了修订。
10. 民族自治地方是指5个民族自治区、30个民族自治州和120个民族自治县（旗）的全部民族自治范围，且不重复计算。
数据来源：国家统计局
