数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
化学原料及化学制品制造业能源消费总量 (万吨标准煤) 	,	,	,73772.15	,66327.00	,60405.00	,56723.00	,53272.00	,51278.00	,49356.00	,49722.00	,
医药制造业能源消费总量 (万吨标准煤) 	,	,	,2837.19	,2603.00	,2395.00	,2259.00	,2179.00	,2179.00	,2251.00	,2323.00	,
化学纤维制造业能源消费总量 (万吨标准煤) 	,	,	,2813.52	,2634.00	,2713.00	,2355.00	,2416.00	,2329.00	,2204.00	,2075.00	,
橡胶和塑料制品业能源消费总量 (万吨标准煤) 	,	,	,5701.23	,5380.00	,5547.00	,4990.00	,4868.00	,4793.00	,4771.00	,4538.00	,
橡胶制品业能源消费总量 (万吨标准煤) 	,	,	,	,	,	,	,	,	,	,	,
塑料制品业能源消费总量 (万吨标准煤) 	,	,	,	,	,	,	,	,	,	,	,
非金属矿物制品业能源消费总量 (万吨标准煤) 	,	,	,39718.13	,37049.00	,36039.00	,35387.00	,33344.00	,32798.00	,33343.00	,34772.00	,
黑色金属冶炼及压延加工业能源消费总量 (万吨标准煤) 	,	,	,68334.05	,66011.00	,66263.00	,66851.00	,65387.00	,62279.00	,62843.00	,62879.00	,
有色金属冶炼及压延加工业能源消费总量 (万吨标准煤) 	,	,	,28362.60	,27663.00	,26413.00	,25460.00	,24436.00	,24628.00	,23316.00	,21028.00	,
金属制品业能源消费总量 (万吨标准煤) 	,	,	,6823.01	,6451.00	,6879.00	,6385.00	,6552.00	,6283.00	,6366.00	,4974.00	,
通用设备制造业能源消费总量 (万吨标准煤) 	,	,	,4390.97	,4199.00	,4345.00	,3982.00	,3627.00	,3705.00	,3636.00	,3665.00	,
专用设备制造业能源消费总量 (万吨标准煤) 	,	,	,2038.78	,1903.00	,1991.00	,1820.00	,1884.00	,1691.00	,1691.00	,1739.00	,
汽车制造业能源消费总量 (万吨标准煤) 	,	,	,5460.43	,4781.00	,4645.00	,4078.00	,3663.00	,3646.00	,3380.00	,3276.00	,
铁路、船舶、航空航天和其他运输设备制造业能源消费总量 (万吨标准煤) 	,	,	,894.82	,975.00	,915.00	,827.00	,853.00	,1821.00	,979.00	,867.00	,
电气机械及器材制造业能源消费总量 (万吨标准煤) 	,	,	,5832.26	,4632.00	,3910.00	,3106.00	,2841.00	,2698.00	,2582.00	,2623.00	,
计算机、通信和其他电子设备制造业能源消费总量 (万吨标准煤) 	,	,	,7537.61	,6721.00	,6004.00	,5120.00	,5028.00	,4628.00	,3662.00	,3377.00	,
仪器仪表制造业能源消费总量 (万吨标准煤) 	,	,	,271.33	,298.00	,290.00	,252.00	,249.00	,277.00	,307.00	,309.00	,
其他制造业能源消费总量 (万吨标准煤) 	,	,	,2595.13	,2334.00	,2230.00	,1857.00	,1799.00	,1620.00	,1672.00	,1708.00	,
废弃资源综合利用业能源消费总量 (万吨标准煤) 	,	,	,858.25	,727.00	,714.00	,686.00	,635.00	,391.00	,222.00	,228.00	,
金属制品、机械和设备修理业能源消费总量 (万吨标准煤) 	,	,	,73.41	,115.00	,70.00	,63.00	,68.00	,72.00	,76.00	,52.00	,
电力、热力、燃气及水生产和供应业能源消费总量 (万吨标准煤) 	,	,	,39446.50	,38438.00	,37188.00	,35523.00	,34844.00	,33566.00	,31747.00	,30184.00	,
电力、热力的生产和供应业能源消费总量 (万吨标准煤) 	,	,	,34967.48	,34378.00	,33487.00	,32076.00	,31759.00	,30832.00	,29258.00	,28080.00	,
燃气生产和供应业能源消费总量 (万吨标准煤) 	,	,	,2081.77	,1792.00	,1537.00	,1525.00	,1309.00	,1148.00	,994.00	,739.00	,
水的生产和供应业能源消费总量 (万吨标准煤) 	,	,	,2397.25	,2268.00	,2164.00	,1923.00	,1775.00	,1587.00	,1495.00	,1365.00	,
建筑业能源消费总量 (万吨标准煤) 	,	,	,8106.39	,8371.00	,9608.00	,9320.00	,9142.00	,8685.00	,8243.00	,7847.00	,
交通运输、仓储和邮政业能源消费总量 (万吨标准煤) 	,	,	,46909.19	,40434.00	,43935.00	,41309.00	,43909.00	,43617.00	,42140.00	,39883.00	,
批发和零售业、住宿和餐饮业能源消费总量 (万吨标准煤) 	,	,	,17546.32	,15342.00	,14898.00	,13171.00	,13624.00	,12994.00	,12456.00	,12042.00	,
其他能源消费总量 (万吨标准煤) 	,	,	,37419.04	,32375.00	,31762.00	,28245.00	,27582.00	,26262.00	,24277.00	,23185.00	,
居民生活能源消费总量 (万吨标准煤) 	,	,	,70643.61	,70288.00	,67481.00	,64373.57	,61709.00	,60436.00	,57459.00	,54336.00	,
汽油可供量 (万吨) 	,	,	,	,13358.7	,14383.6	,12829.0	,13690.3	,13035.3	,12200.5	,11829.4	,
汽油生产量 (万吨) 	,	,	,	,14634.6	,16067.3	,14256.7	,14880.7	,14264.7	,13276.2	,12932.0	,
汽油进口量 (万吨) 	,	,	,	,2.0	,35.8	,48.0	,33.3	,44.5	,1.6	,20.8	,
汽油出口量 (万吨) 	,	,	,	,1257.2	,1454.2	,1600.0	,1637.1	,1287.9	,1051.4	,969.3	,
汽油年初年末库存差额 (万吨) 	,	,	,	,-20.7	,-265.2	,124.3	,413.3	,13.9	,-26.0	,-154.2	,
汽油能源消费总量 (万吨) 	,	,	,	,13277.3	,14242.4	,12767.2	,13628.0	,13055.3	,12296.3	,11866.0	,
农、林、牧、渔业汽油消费总量 (万吨) 	,	,	,	,277.9	,280.9	,257.3	,253.2	,242.9	,229.6	,224.4	,
工业汽油消费总量 (万吨) 	,	,	,	,307.0	,194.3	,184.0	,262.0	,296.5	,382.1	,436.3	,
建筑业汽油消费总量 (万吨) 	,	,	,	,544.3	,563.2	,508.4	,499.9	,505.0	,452.3	,437.3	,
交通运输、仓储和邮政业汽油消费总量 (万吨) 	,	,	,	,5845.6	,6223.3	,5573.6	,6244.9	,6067.6	,5698.5	,5511.1	,
批发和零售业、住宿和餐饮业汽油消费总量 (万吨) 	,	,	,	,287.4	,302.9	,273.2	,287.9	,275.5	,244.5	,240.9	,
其他汽油消费总量 (万吨) 	,	,	,	,2248.8	,2502.7	,2253.1	,2240.9	,2163.6	,2075.0	,2046.4	,
居民生活汽油消费总量 (万吨) 	,	,	,	,3766.2	,4175.1	,3717.6	,3839.1	,3504.2	,3214.2	,2969.7	,
汽油平衡差额 (万吨) 	,	,	,	,81.4	,141.2	,61.9	,62.3	,-20.0	,-95.8	,-36.7	,
居民人均可支配收入 (元) 	,43377	,41314	,39218	,36883	,35128	,32189	,30733	,28228	,25974	,23821	,
居民人均可支配收入比上年增长 (%) 	,5.0	,5.1	,6.1	,2.9	,8.1	,2.1	,5.8	,6.5	,7.3	,6.3	,
居民人均可支配收入中位数 (元) 	,36231	,34707	,33036	,31370	,29975	,27540	,26523	,24336	,22408	,20883	,
居民人均可支配收入中位数比上年增长 (%) 	,4.4	,5.1	,5.3	,4.7	,8.8	,3.8	,9.0	,8.6	,7.3	,8.3	,
居民人均可支配工资性收入 (元) 	,24555	,23327	,22053	,20590	,19629	,17917	,17186	,15829	,14620	,13455	,
居民人均可支配工资性收入比上年增长 (%) 	,5.3	,5.8	,7.1	,4.9	,9.6	,4.3	,8.6	,8.3	,8.7	,8.0	,
居民人均可支配经营净收入 (元) 	,7252	,6908	,6542	,6175	,5893	,5307	,5247	,4852	,4502	,4218	,
居民人均可支配经营净收入比上年增长 (%) 	,5.0	,5.6	,6.0	,4.8	,11.0	,1.1	,8.1	,7.8	,6.7	,6.6	,
居民人均可支配财产净收入 (元) 	,3490	,3435	,3362	,3227	,3076	,2791	,2619	,2379	,2107	,1889	,
居民人均可支配财产净收入比上年增长 (%) 	,1.6	,2.2	,4.2	,4.9	,10.2	,6.6	,10.1	,12.9	,11.6	,8.6	,
居民人均可支配转移净收入 (元) 	,8080	,7644	,7261	,6892	,6531	,6173	,5680	,5168	,4744	,4259	,
居民人均可支配转移净收入比上年增长 (%) 	,5.7	,5.3	,5.4	,5.5	,5.8	,8.7	,9.9	,8.9	,11.4	,11.7	,
居民人均消费支出 (元) 	,29476	,28227	,26796	,24538	,24100	,21210	,21559	,19853	,18322	,17111	,
居民人均消费支出比上年增长 (%) 	,4.4	,5.1	,9.0	,-0.2	,12.6	,-4.0	,5.5	,6.2	,5.4	,6.8	,
居民人均服务性消费支出 (元) 	,13602	,13016	,12114	,10590	,10645	,9037	,9886	,8781	,7803	,7157	,
居民人均服务性消费支出比上年增长 (%) 	,4.5	,7.4	,14.4	,-0.5	,17.8	,-8.6	,12.6	,12.5	,9.0	,10.8	,
居民人均食品烟酒支出 (元) 	,8631	,8411	,7983	,7481	,7178	,6397	,6084	,5631	,5374	,5151	,
居民人均食品烟酒支出比上年增长 (%) 	,2.6	,5.4	,6.7	,4.2	,12.2	,5.1	,8.0	,4.8	,4.3	,7.0	,
居民人均衣着支出 (元) 	,1554	,1521	,1479	,1365	,1419	,1238	,1338	,1289	,1238	,1203	,
居民人均衣着支出比上年增长 (%) 	,2.2	,2.8	,8.4	,-3.8	,14.6	,-7.5	,3.8	,4.1	,2.9	,3.3	,
居民人均居住支出 (元) 	,6397	,6263	,6095	,5882	,5641	,5215	,5055	,4647	,4107	,3746	,
居民人均居住支出比上年增长 (%) 	,2.1	,2.8	,3.6	,4.3	,8.2	,3.2	,8.8	,13.1	,9.6	,9.6	,
居民人均生活用品及服务支出 (元) 	,1667	,1547	,1526	,1432	,1423	,1260	,1281	,1223	,1121	,1044	,
居民人均生活用品及服务支出比上年增长 (%) 	,7.7	,1.4	,6.6	,0.6	,13.0	,-1.7	,4.8	,9.1	,7.4	,9.7	,
居民人均交通通信支出 (元) 	,4306	,3976	,3652	,3195	,3156	,2762	,2862	,2675	,2499	,2338	,
居民人均交通通信支出比上年增长 (%) 	,8.3	,8.9	,14.3	,1.2	,14.3	,-3.5	,7.0	,7.1	,6.9	,12.0	,
居民人均教育文化娱乐支出 (元) 	,3489	,3189	,2904	,2469	,2599	,2032	,2513	,2226	,2086	,1915	,
居民人均教育文化娱乐支出比上年增长 (%) 	,9.4	,9.8	,17.6	,-5.0	,27.9	,-19.1	,12.9	,6.7	,8.9	,11.2	,
居民人均医疗保健支出 (元) 	,2573	,2547	,2460	,2120	,2115	,1843	,1902	,1685	,1451	,1307	,
居民人均医疗保健支出比上年增长 (%) 	,1.0	,3.6	,16.0	,0.2	,14.8	,-3.1	,12.9	,16.1	,11.0	,12.3	,
居民人均其他用品及服务支出 (元) 	,859	,773	,697	,595	,569	,462	,524	,477	,447	,406	,
居民人均其他用品及服务支出比上年增长 (%) 	,11.2	,10.8	,17.1	,4.6	,23.2	,-11.8	,9.7	,6.8	,10.0	,4.4	,
注：1. 人均可支配收入增长(%)和人均消费支出增长(%)为扣除价格因素的实际增长(%),其余增长(%)均为名义增长(%)。
2. 人均收入中位数是指将所有调查户按人均收入水平从低到高(或从高到低)顺序排列,处于最中间位置调查户的人均收入。
3. 服务性消费支出是指住户用于餐饮服务、教育文化娱乐服务和医疗服务等各种生活服务的消费支出。
数据来源：国家统计局
