数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
能源消费总量 (万吨标准煤) 	,617000.00	,596000.00	,571327.00	,541274.00	,525027.00	,496514.00	,485584.00	,471925.00	,455827.00	,441492.00	,
农、林、牧、渔业能源消费总量 (万吨标准煤) 	,	,	,10442.37	,10090.00	,9661.00	,9263.00	,9018.00	,8781.00	,8945.00	,8585.00	,
工业能源消费总量 (万吨标准煤) 	,	,	,380260.49	,363782.00	,348551.00	,332625.00	,322503.00	,311151.00	,302308.00	,295615.00	,
采矿业能源消费总量 (万吨标准煤) 	,	,	,15154.00	,18258.00	,18298.00	,17451.00	,19233.00	,18981.00	,18099.00	,17773.00	,
煤炭开采和洗选业能源消费总量 (万吨标准煤) 	,	,	,5480.06	,8811.00	,9035.00	,8953.00	,10133.00	,9983.00	,9646.00	,9436.00	,
石油和天然气开采业能源消费总量 (万吨标准煤) 	,	,	,4487.09	,4461.00	,4155.00	,3743.00	,3755.00	,3818.00	,3956.00	,3916.00	,
黑色金属矿采选业能源消费总量 (万吨标准煤) 	,	,	,1694.37	,1757.00	,1897.00	,1728.00	,1660.00	,1566.00	,1537.00	,1458.00	,
有色金属矿采选业能源消费总量 (万吨标准煤) 	,	,	,1141.90	,1114.00	,1082.00	,1090.00	,1258.00	,1253.00	,1106.00	,1076.00	,
非金属矿采选业能源消费总量 (万吨标准煤) 	,	,	,1287.36	,1209.00	,1273.00	,1126.00	,1324.00	,1312.00	,1185.00	,1260.00	,
开采专业及辅助性活动能源消费总量 (万吨标准煤) 	,	,	,524.65	,406.00	,341.00	,322.00	,470.00	,464.00	,321.00	,286.00	,
其他采矿业能源消费总量 (万吨标准煤) 	,	,	,538.58	,499.00	,516.00	,488.00	,633.00	,584.00	,347.00	,341.00	,
制造业能源消费总量 (万吨标准煤) 	,	,	,325659.99	,307086.00	,293065.00	,279651.00	,268426.00	,258604.00	,252462.00	,247658.00	,
农副食品加工业能源消费总量 (万吨标准煤) 	,	,	,4394.63	,4296.00	,4315.00	,4002.00	,4126.00	,4036.00	,4145.00	,4241.00	,
食品制造业能源消费总量 (万吨标准煤) 	,	,	,2868.15	,2769.00	,2417.00	,2148.00	,2042.00	,1959.00	,1965.00	,1976.00	,
酒、饮料和精制茶制造业能源消费总量 (万吨标准煤) 	,	,	,1286.33	,1339.00	,1287.00	,1199.00	,1283.00	,1317.00	,1403.00	,1496.00	,
烟草制品业能源消费总量 (万吨标准煤) 	,	,	,185.98	,192.00	,186.00	,180.00	,192.00	,198.00	,200.00	,206.00	,
纺织业能源消费总量 (万吨标准煤) 	,	,	,7857.60	,7268.00	,7932.00	,6982.00	,7398.00	,7372.00	,7518.00	,7303.00	,
纺织服装、服饰业能源消费总量 (万吨标准煤) 	,	,	,946.05	,912.00	,989.00	,854.00	,905.00	,866.00	,882.00	,946.00	,
皮革、毛皮、羽毛及其制品和制鞋业能源消费总量 (万吨标准煤) 	,	,	,538.06	,531.00	,535.00	,489.00	,539.00	,546.00	,563.00	,607.00	,
木材加工及木、竹、藤、棕、草制品业能源消费总量 (万吨标准煤) 	,	,	,1109.91	,1094.00	,1154.00	,1007.00	,1036.00	,1059.00	,1082.00	,1194.00	,
家具制造业能源消费总量 (万吨标准煤) 	,	,	,469.16	,439.00	,459.00	,393.00	,383.00	,367.00	,353.00	,364.00	,
造纸及纸制品业能源消费总量 (万吨标准煤) 	,	,	,4882.81	,4462.00	,4204.00	,3927.00	,3847.00	,4102.00	,4314.00	,4115.00	,
印刷和记录媒介复制业能源消费总量 (万吨标准煤) 	,	,	,563.84	,550.00	,556.00	,498.00	,508.00	,517.00	,484.00	,481.00	,
文教、工美、体育和娱乐用品制造业能源消费总量 (万吨标准煤) 	,	,	,484.12	,460.00	,545.00	,501.00	,493.00	,461.00	,435.00	,410.00	,
石油、煤炭及其他燃料加工业能源消费总量 (万吨标准煤) 	,	,	,41758.47	,41969.00	,36720.00	,35267.00	,32572.00	,28689.00	,26458.00	,24165.00	,
