数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
平均每天能源消费量 (万吨标准煤) 	,	,	,1565.3	,1482.9	,1440.8	,1356.6	,1335.6	,1292.9	,1248.8	,1206.3	,
平均每天煤炭消费量 (万吨) 	,	,	,1289.7	,1219.1	,1176.9	,1093.7	,1101.1	,1088.9	,1072.3	,1062.4	,
平均每天焦炭消费量 (万吨) 	,	,	,128.6	,127.1	,127.8	,132.0	,127.2	,119.8	,119.8	,124.2	,
平均每天原油消费量 (万吨) 	,	,	,207.6	,191.8	,198.1	,189.8	,184.3	,172.6	,162.7	,156.1	,
平均每天燃料油消费量 (万吨) 	,	,	,20.5	,15.0	,15.0	,14.7	,12.9	,12.4	,13.4	,12.7	,
平均每天汽油消费量 (万吨) 	,	,	,39.2	,36.4	,39.0	,34.9	,37.3	,35.8	,33.7	,32.4	,
平均每天煤油消费量 (万吨) 	,	,	,10.1	,5.7	,9.6	,9.2	,10.8	,10.0	,9.1	,8.1	,
平均每天柴油消费量 (万吨) 	,	,	,51.4	,46.7	,41.6	,39.0	,40.9	,45.0	,46.3	,46.0	,
平均每天天然气消费量 (亿立方米) 	,	,	,11.0	,10.3	,10.3	,9.1	,8.4	,7.7	,6.6	,5.7	,
平均每天电力消费量 (亿千瓦小时) 	,	,	,258.6	,242.1	,233.4	,212.1	,205.1	,195.9	,180.6	,167.2	,
生活能源消费量 (万吨标准煤) 	,	,	,70644	,70288	,67481	,64374	,61709	,60436	,57459	,54336	,
生活煤炭消费量 (万吨) 	,	,	,4355	,5150	,5929	,6283	,6547	,7714	,9283	,9492	,
生活煤油消费量 (万吨) 	,	,	,2	,2	,3	,12	,23	,25	,28	,26	,
生活液化石油气消费量 (万吨) 	,	,	,2437	,2674	,2732	,2860	,2855	,3147	,3225	,2955	,
生活天然气消费量 (亿立方米) 	,	,	,612	,589	,592	,560	,502	,468	,420	,380	,
生活煤气消费量 (亿立方米) 	,	,	,38	,37	,43	,50	,46	,47	,52	,63	,
生活热力消费量 (万百万千焦) 	,	,	,178425	,165428	,158018	,141349	,128832	,121684	,106330	,98623	,
生活电力消费量 (亿千瓦小时) 	,	,	,14070	,13936	,12279	,11396	,10637	,10058	,9072	,8421	,
人均能源生产量 (千克标准煤) 	,	,	,	,3284.0	,3024.0	,2886.0	,2822.0	,2701.0	,2570.0	,2493.0	,
人均原煤生产量 (千克) 	,	,3393.4	,3347.7	,3228.0	,2920.0	,2765.6	,2732.0	,2636.2	,2524.0	,2457.9	,
人均原油生产量 (千克) 	,	,151.1	,148.2	,145.0	,140.8	,138.0	,136.1	,135.0	,137.2	,143.9	,
人均电力生产量 (千瓦小时) 	,	,7159.0	,6703.3	,6266.0	,6042.5	,5512.8	,5330.1	,5108.6	,4730.3	,4419.4	,
人均能源消费量 (千克标准煤) 	,	,	,	,3831.0	,3724.0	,3531.0	,3463.0	,3364.0	,3265.0	,3181.0	,
人均煤炭消费量 (千克) 	,	,	,	,3174.0	,3042.0	,2869.0	,2855.0	,2833.0	,2803.0	,2802.0	,
人均石油消费量 (千克) 	,	,	,	,482.0	,484.0	,463.0	,458.0	,444.0	,433.0	,416.0	,
人均电力消费量 (千瓦小时) 	,	,	,	,6257.0	,6032.0	,5501.0	,5318.0	,5098.0	,4721.0	,4410.0	,
人均生活能源消费量 (千克标准煤) 	,	,	,501	,498	,476	,456	,439	,431	,412	,392	,
人均煤炭生活消费量 (千克) 	,	,	,31	,36	,39	,45	,47	,55	,66	,68	,
人均电力生活消费量 (千瓦小时) 	,	,	,997	,987	,869	,808	,756	,717	,650	,607	,
人均煤油生活消费量 (千克) 	,	,	,	,	,	,	,	,	,	,	,
人均液化石油气生活消费量 (千克) 	,	,	,17.3	,18.9	,19.3	,20.3	,20.3	,22.4	,23.1	,21.3	,
