数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
人均天然气生活消费量 (立方米) 	,	,	,43.4	,41.7	,41.9	,39.7	,35.7	,33.4	,30.1	,27.4	,
人均煤气生活消费量 (立方米) 	,	,	,2.7	,2.6	,3.1	,3.5	,3.3	,3.4	,3.7	,4.5	,
煤进口量 (万吨) 	,	,54262	,47433	,29320	,32327	,30361	,29977	,28210	,27092	,25555	,
焦炭进口量 (万吨) 	,	,	,	,51	,133	,298	,52	,9	,1	,	,
原油进口量 (万吨) 	,57773	,55323	,56394	,50823	,51292	,54201	,50568	,46189	,41946	,38101	,
汽油进口量 (万吨) 	,	,	,	,2	,36	,48	,33	,45	,2	,21	,
柴油进口量 (万吨) 	,	,	,	,44	,76	,119	,119	,71	,75	,92	,
煤油进口量 (万吨) 	,	,	,	,114	,157	,266	,367	,413	,376	,352	,
燃料油进口量 (万吨) 	,	,	,	,1304	,1381	,1253	,1486	,1666	,1357	,1174	,
液化石油气进口量 (万吨) 	,	,	,	,2692	,2478	,2005	,2109	,1966	,1922	,1679	,
其它石油制品进口量 (万吨) 	,	,	,	,2962	,2629	,2606	,2288	,2592	,2396	,2067	,
天然气进口量 (亿立方米) 	,	,	,	,1507	,1674	,1397	,1332	,1246	,946	,746	,
电力进口量 (亿千瓦小时) 	,	,	,	,71	,59	,48	,49	,57	,64	,62	,
煤出口量 (万吨) 	,	,666	,447	,401	,261	,319	,603	,494	,802	,879	,
焦炭出口量 (万吨) 	,	,831	,879	,892	,643	,349	,652	,976	,808	,1012	,
原油出口量 (万吨) 	,	,	,	,205	,261	,164	,81	,263	,486	,294	,
汽油出口量 (万吨) 	,	,	,	,1257	,1454	,1600	,1637	,1288	,1051	,969	,
柴油出口量 (万吨) 	,	,	,	,1093	,1721	,1976	,2138	,1853	,1719	,1540	,
煤油出口量 (万吨) 	,	,	,	,1095	,858	,997	,1761	,1467	,1313	,1310	,
燃料油出口量 (万吨) 	,	,	,	,1866	,1961	,1583	,1118	,1230	,1109	,986	,
液化石油气出口量 (万吨) 	,	,	,	,87	,99	,95	,141	,113	,132	,132	,
其它石油制品出口量 (万吨) 	,	,	,	,345	,360	,323	,375	,400	,338	,367	,
天然气出口量 (亿立方米) 	,	,	,	,58	,55	,52	,36	,34	,35	,34	,
电力出口量 (亿千瓦小时) 	,	,	,	,201	,202	,218	,217	,209	,195	,189	,
钢材进口量 (万吨) 	,606	,681	,765	,1056	,1427	,2023	,1230	,1317	,1330	,1322	,
铜及铜合金进口量 (万吨) 	,	,	,	,	,	,668	,448	,475	,411	,439	,
铝及铝合金进口量 (万吨) 	,	,	,	,	,	,271	,29	,20	,19	,26	,
肥料进口量 (万吨) 	,	,1411	,1309	,894	,909	,1060	,1111	,950	,918	,832	,
纸浆进口量 (万吨) 	,3604	,3435	,3666	,2916	,2969	,3050	,2718	,2479	,2372	,2107	,
纺织用合成纤维进口量 (万吨) 	,	,	,	,	,	,	,42	,45	,40	,32	,
水泥出口量 (万吨) 	,	,537	,383	,188	,220	,313	,553	,904	,1286	,1785	,
平板玻璃出口量 (万平方米) 	,	,	,	,	,	,	,18822	,19347	,21032	,22661	,
钢材出口量 (万吨) 	,11902	,11072	,9026	,6671	,6686	,5367	,6429	,6933	,7541	,10853	,
铜材出口量 (吨) 	,	,	,	,	,	,744434	,524233	,509868	,477898	,452313	,
铝材出口量 (吨) 	,	,6660000	,5675028	,6598605	,5619074	,4860000	,5148424	,5230000	,4240000	,4070000	,
锌及锌合金出口量 (吨) 	,	,	,	,	,	,	,64040	,24283	,16445	,22642	,
纸及纸板出口量 (万吨) 	,	,	,	,	,	,	,629	,565	,652	,683	,
国有经济能源工业固定资产投资 (亿元) 	,	,	,	,	,	,	,	,	,11400.00	,11758.00	,
国有经济煤炭采选业固定资产投资 (亿元) 	,	,	,	,	,	,	,	,	,572.00	,561.00	,
国有经济石油和天然气开采业固定资产投资 (亿元) 	,	,	,	,	,	,	,	,	,901.00	,811.00	,
国有经济电力、蒸汽、热水生产和供应业固定资产投资 (亿元) 	,	,	,	,	,	,	,	,	,8929.00	,9318.00	,
国有经济石油加工及炼焦业固定资产投资 (亿元) 	,	,	,	,	,	,	,	,	,450.00	,573.00	,
国有经济煤气生产和供应业固定资产投资 (亿元) 	,	,	,	,	,	,	,	,	,548.00	,494.00	,
能源工业投资 (亿元) 	,	,	,	,	,	,	,	,	,32259.06	,32837.36	,
煤炭采选业投资 (亿元) 	,	,	,	,	,	,	,	,	,2648.38	,3037.68	,
石油和天然气开采业投资 (亿元) 	,	,	,	,	,	,	,	,	,2648.93	,2330.97	,
电力、蒸汽、热水生产和供应业投资 (亿元) 	,	,	,	,	,	,	,	,	,24284.99	,24772.48	,
石油加工及炼焦业投资 (亿元) 	,	,	,	,	,	,	,	,	,2676.77	,2696.23	,
煤气生产和供应业投资 (亿元) 	,	,	,	,	,	,	,	,	,2229.78	,2134.80	,
城市天然气供气总量 (亿立方米) 	,	,1863.75	,1837.19	,1767.70	,1721.06	,1563.70	,1608.56	,1443.95	,1263.75	,1171.72	,
城市天然气用气人口 (万人) 	,	,48422.43	,47114.77	,45678.51	,44195.53	,41302.00	,39025.00	,36902.00	,33934.00	,30856.00	,
城市人工煤气供气总量 (亿立方米) 	,	,13.96	,14.06	,18.14	,18.72	,23.14	,27.68	,29.79	,27.09	,44.09	,
城市人工煤气用气人口 (万人) 	,	,310.47	,312.30	,380.51	,455.77	,548.00	,675.00	,779.00	,752.00	,1085.00	,
城市液化石油气供气总量 (万吨) 	,	,723.27	,764.60	,758.46	,860.68	,833.71	,1040.81	,1015.33	,998.81	,1078.80	,
城市液化石油气用气人口 (万人) 		,	,7161.85	,8405.80	,9332.83	,10180.49	,10767.00	,11297.00	,11782.00	,12616.00	,13744.00	,
能源消费总量 (万吨标准煤) 	,617000	,596000	,571327	,541274	,525027	,496514	,485584	,471925	,455827	,441492	,
煤炭占能源消费总量的比重 (%) 	,51.4	,53.2	,54.8	,55.6	,55.7	,56.7	,57.5	,59.0	,60.6	,62.2	,
石油占能源消费总量的比重 (%) 	,	,18.2	,18.8	,18.4	,18.8	,18.9	,19.0	,18.9	,18.9	,18.7	,
天然气占能源消费总量的比重 (%) 	,	,8.8	,8.5	,8.4	,8.8	,8.4	,8.0	,7.6	,6.9	,6.1	,
一次电力及其他能源占能源总量的比重 (%) 	,	,19.8	,17.9	,17.6	,16.7	,16.0	,15.4	,14.5	,13.6	,13.0	,
煤炭消费量 (万吨) 	,	,	,470755.13	,448246.00	,429576.00	,404860.00	,401915.00	,397452.00	,391403.00	,388820.00	,
焦炭消费量 (万吨) 	,	,	,46949.01	,46395.00	,46664.00	,48310.00	,46426.00	,43717.00	,43743.00	,45462.00	,
原油消费量 (万吨) 	,	,	,75759.46	,70022.90	,72298.86	,69477.14	,67268.27	,63004.33	,59402.17	,57125.93	,
汽油消费量 (万吨) 	,	,	,14312.93	,13277.27	,14242.43	,12767.16	,13627.97	,13055.30	,12296.27	,11866.04	,
煤油消费量 (万吨) 	,	,	,3698.33	,2073.66	,3489.89	,3352.10	,3950.23	,3653.51	,3326.36	,2970.71	,
柴油消费量 (万吨) 	,	,	,18764.54	,15781.89	,15197.04	,14282.70	,14917.95	,16409.56	,16916.54	,16839.04	,
燃料油消费量 (万吨) 	,	,	,7464.69	,5470.77	,5489.28	,5364.60	,4690.34	,4536.07	,4887.30	,4631.04	,
天然气消费量 (亿立方米) 	,	,	,4006.39	,3746.95	,3772.96	,3339.89	,3059.68	,2817.09	,2393.69	,2078.06	,
电力消费量 (亿千瓦小时) 	,	,	,94393.20	,88357.62	,85200.10	,77620.17	,74866.12	,71508.20	,65913.97	,61205.09	,
注：1. 人均能源生产量和消费量按年平均人口数计算。
2. 进出口数据来源于海关总署。1978年为外贸业务统计数,1980年起为海关进出口统计数。
3. 从2011年起,城镇固定资产投资数据发布口径改为固定资产投资(不含农户),固定资产投资(不含农户)等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
