数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
国内非金融交易资金来源社会保险福利 (亿元) 	,	,	,70896.5	,65947.0	,62503.8	,57360.0	,53980.0	,49586.7	,33233.5	,30045.0	,
国内非金融交易资金来源社会补助 (亿元) 	,	,	,18563.6	,17475.0	,16365.3	,16984.6	,16393.1	,15396.6	,13644.4	,12698.5	,
国内非金融交易资金来源其他经常转移 (亿元) 	,	,	,31505.4	,29391.1	,29298.8	,26518.1	,25183.1	,22944.2	,21778.9	,19507.6	,
国内非金融交易资金来源可支配总收入 (亿元) 	,	,	,1285587.7	,1225062.7	,1166838.6	,1027322.9	,1003814.9	,931839.1	,845489.1	,756855.2	,
国内非金融交易资金来源总储蓄 (亿元) 	,	,	,550992.9	,553258.9	,524461.9	,450153.5	,435466.7	,409732.4	,375560.0	,333914.9	,
国内非金融交易资金来源资本转移 (亿元) 	,	,	,10567.6	,10315.4	,14031.6	,14576.5	,12904.7	,11765.7	,9900.3	,9023.0	,
国内非金融交易资金来源投资性补助 (亿元) 	,	,	,10554.4	,10299.4	,14014.8	,14565.0	,12889.7	,11745.7	,9884.9	,9002.0	,
国内非金融交易资金来源其他资本转移 (亿元) 	,	,	,13.2	,16.0	,16.8	,11.5	,15.0	,20.1	,15.4	,21.0	,
国内非金融交易资金来源实物社会转移 (亿元) 	,	,	,90587.6	,82170.4	,74920.1	,68937.7	,63623.3	,56436.2	,51423.7	,46407.7	,
国内非金融交易资金来源调整后可支配总收入 (亿元) 	,	,	,1285587.7	,1225062.7	,1166838.6	,1027322.9	,1003814.9	,931839.1	,845489.1	,756855.2	,
国外非金融交易资金运用劳动者报酬 (亿元) 	,	,	,1590.5	,1383.8	,1103.9	,1014.1	,982.9	,1192.8	,1467.6	,1784.5	,
国外非金融交易资金运用财产收入 (亿元) 	,	,	,19557.5	,16878.8	,20028.5	,15917.3	,17845.6	,16552.7	,18086.8	,13257.3	,
国外非金融交易资金运用利息 (亿元) 	,	,	,7176.8	,3665.4	,8016.8	,8273.5	,9287.0	,8515.5	,9953.7	,8238.8	,
国外非金融交易资金运用红利 (亿元) 	,	,	,12053.2	,12931.4	,11793.4	,7447.0	,8435.2	,7900.1	,8086.2	,4981.2	,
国外非金融交易资金运用其他财产收入 (亿元) 	,	,	,327.6	,282.0	,218.3	,196.8	,123.4	,137.0	,46.9	,37.3	,
国外非金融交易资金运用经常转移 (亿元) 	,	,	,2386.1	,2984.9	,3144.8	,2474.5	,1786.6	,1833.0	,1902.4	,2050.0	,
国外非金融交易资金运用其他经常转移 (亿元) 	,	,	,2386.1	,2984.9	,3144.8	,2474.5	,1786.6	,1833.0	,1902.4	,2050.0	,
国外非金融交易资金运用资本转移 (亿元) 	,	,	,13.2	,16.0	,16.8	,11.5	,15.0	,20.1	,15.4	,21.0	,
国外非金融交易资金运用其他资本转移 (亿元) 	,	,	,13.2	,16.0	,16.8	,11.5	,15.0	,20.1	,15.4	,21.0	,
国外非金融交易资金运用净金融投资 (亿元) 	,	,	,-18471.3	,-29943.8	,-22740.5	,-16957.8	,-7093.3	,-1843.6	,-12678.2	,-12615.0	,
国外非金融交易资金来源净出口 (亿元) 	,	,	,-27176.5	,-38930.5	,-29718.8	,-24507.9	,-9173.5	,-6052.8	,-14578.4	,-16975.6	,
国外非金融交易资金来源劳动者报酬 (亿元) 	,	,	,1084.6	,1202.0	,1193.7	,999.1	,769.2	,657.4	,456.2	,412.6	,
国外非金融交易资金来源财产收入 (亿元) 	,	,	,29561.2	,27383.2	,27944.9	,24048.0	,20823.3	,21125.7	,20188.4	,18330.2	,
国外非金融交易资金来源利息 (亿元) 	,	,	,4149.1	,3557.3	,2780.3	,3214.3	,3386.2	,2254.9	,849.0	,765.6	,
国外非金融交易资金来源红利 (亿元) 	,	,	,25332.2	,23767.7	,25122.1	,20777.2	,17387.2	,18850.9	,19322.1	,17550.3	,
国外非金融交易资金来源其他财产收入 (亿元) 	,	,	,79.9	,58.2	,42.5	,56.5	,49.9	,19.9	,17.3	,14.3	,
国外非金融交易资金来源经常转移 (亿元) 	,	,	,1572.3	,1629.0	,2123.0	,1903.4	,1080.1	,1966.4	,2706.0	,2686.8	,
国外非金融交易资金来源其他经常转移 (亿元) 	,	,	,1572.3	,1629.0	,2123.0	,1903.4	,1080.1	,1966.4	,2706.0	,2686.8	,
国外非金融交易资金来源总储蓄 (亿元) 	,	,	,-18492.4	,-29963.8	,-22734.4	,-16963.3	,-7116.0	,-1881.7	,-12684.6	,-12637.8	,
国外非金融交易资金来源资本转移 (亿元) 	,	,	,34.4	,36.1	,10.7	,16.9	,37.7	,58.2	,21.8	,43.8	,
国外非金融交易资金来源其他资本转移 (亿元) 	,	,	,34.4	,36.1	,10.7	,16.9	,37.7	,58.2	,21.8	,43.8	,
金融交易资金运用净金融投资 (亿元) 	,	,	,0.0	,	,	,	,0.0	,0.0	,	,	,
金融交易资金运用资金运用 (亿元) 	,	,	,802448.4	,703390.0	,701323.0	,699091.7	,446624.9	,357702.1	,633238.0	,731159.6	,
金融交易资金运用资金来源 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
金融交易资金运用通货 (亿元) 	,	,	,8703.4	,13745.0	,6510.0	,7125.1	,3981.0	,2562.8	,2342.0	,5087.3	,
金融交易资金运用存款 (亿元) 	,	,	,259443.2	,261218.0	,194636.0	,202379.1	,145412.2	,105615.1	,145489.0	,175304.3	,
金融交易资金运用贷款 (亿元) 	,	,	,215914.9	,210623.0	,176833.0	,182497.2	,157559.9	,127181.5	,178597.0	,155173.1	,
金融交易资金运用证券 (亿元) 	,	,	,	,	,	,	,	,	,	,177188.3	,
金融交易资金运用证券投资基金份额 (亿元) 	,	,	,24934.0	,19348.0	,46110.0	,33408.0	,7971.0	,18784.0	,21754.0	,11754.0	,
金融交易资金运用证券公司客户保证金 (亿元) 	,	,	,-1888.7	,42.0	,2833.0	,4914.3	,5191.3	,-1228.9	,-4598.0	,-6226.7	,
金融交易资金运用保险准备金 (亿元) 	,	,	,37682.4	,33239.0	,24433.0	,19001.5	,23543.3	,23226.0	,21065.0	,17936.4	,
金融交易资金运用未贴现的银行承兑汇票 (亿元) 	,	,	,-3568.5	,-6822.0	,-9832.0	,3491.8	,-9513.4	,-12685.7	,10762.0	,-39062.1	,
金融交易资金运用金融机构往来 (亿元) 	,	,	,16457.3	,7416.0	,9289.0	,17854.7	,-12816.0	,9643.4	,29013.0	,15378.0	,
金融交易资金运用准备金 (亿元) 	,	,	,19455.0	,15106.0	,-9695.0	,-2241.0	,-8837.6	,-9609.7	,10528.0	,26572.1	,
金融交易资金运用库存现金 (亿元) 	,	,	,-72.0	,68.0	,-203.0	,-156.6	,-276.3	,-515.7	,-148.0	,-74.2	,
金融交易资金运用中央银行贷款 (亿元) 	,	,	,33727.2	,5606.0	,-7911.0	,15612.1	,-4930.0	,9591.9	,24731.0	,38685.8	,
金融交易资金运用其他 (净) (亿元) 	,	,	,22590.7	,-17861.0	,35132.0	,-5676.1	,5761.8	,-59066.9	,66081.0	,156974.5	,
金融交易资金运用直接投资 (亿元) 	,	,	,15425.9	,23352.0	,29855.0	,22237.8	,17488.9	,19849.9	,18239.0	,25756.0	,
金融交易资金运用其他对外债权债务 (亿元) 	,	,	,2229.7	,-8634.0	,14311.0	,12289.6	,385.9	,7984.8	,1916.0	,14974.6	,
金融交易资金运用国际储备资产 (亿元) 	,	,	,1129.0	,6723.0	,12165.0	,1931.7	,-1330.8	,1249.8	,6179.0	,-29469.4	,
金融交易资金运用国际收支错误与遗漏 (亿元) 	,	,	,-2081.9	,-3996.0	,-11498.0	,-12190.2	,-16086.4	,-10601.3	,-14982.0	,-14792.9	,
金融交易资金来源净金融投资 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
金融交易资金来源资金运用 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
金融交易资金来源资金来源 (亿元) 	,	,	,802448.4	,703390.0	,701323.0	,699091.7	,446624.9	,357702.1	,633238.0	,731159.6	,
金融交易资金来源通货 (亿元) 	,	,	,8703.4	,13745.0	,6510.0	,7125.1	,3981.0	,2562.8	,2342.0	,5087.3	,
金融交易资金来源存款 (亿元) 	,	,	,259443.2	,261218.0	,194636.0	,202379.1	,145412.2	,105615.1	,145489.0	,175304.3	,
金融交易资金来源贷款 (亿元) 	,	,	,215914.9	,210623.0	,176833.0	,182497.2	,157559.9	,127181.5	,178597.0	,155173.1	,
金融交易资金来源证券 (亿元) 	,	,	,	,	,	,	,	,	,	,177188.3	,
金融交易资金来源证券投资基金份额 (亿元) 	,	,	,24934.0	,19348.0	,46110.0	,33408.0	,7971.0	,18784.0	,21754.0	,11754.0	,
金融交易资金来源证券公司客户保证金 (亿元) 	,	,	,-1888.7	,42.0	,2833.0	,4914.3	,5191.3	,-1228.9	,-4598.0	,-6226.7	,
金融交易资金来源保险准备金 (亿元) 	,	,	,37682.4	,33239.0	,24433.0	,19001.5	,23543.3	,23226.0	,21065.0	,17936.4	,
金融交易资金来源未贴现的银行承兑汇票 (亿元) 	,	,	,-3568.5	,-6822.0	,-9832.0	,3491.8	,-9513.4	,-12685.7	,10762.0	,-39062.1	,
金融交易资金来源金融机构往来 (亿元) 	,	,	,16457.3	,7416.0	,9289.0	,17854.7	,-12816.0	,9643.4	,29013.0	,15378.0	,
金融交易资金来源准备金 (亿元) 	,	,	,19455.0	,15106.0	,-9695.0	,-2241.0	,-8837.6	,-9609.7	,10528.0	,26572.4	,
金融交易资金来源库存现金 (亿元) 	,	,	,-72.0	,68.0	,-203.0	,-156.6	,-276.3	,-515.7	,-148.0	,-74.2	,
金融交易资金来源中央银行贷款 (亿元) 	,	,	,33727.2	,5606.0	,-7911.0	,15612.1	,-4930.0	,9591.9	,24731.0	,38685.8	,
金融交易资金来源其他 (净) (亿元) 	,	,	,22590.7	,-17861.0	,35132.0	,-5676.1	,5761.8	,-59066.9	,66081.0	,156974.5	,
金融交易资金来源直接投资 (亿元) 	,	,	,15425.9	,23352.0	,29855.0	,22237.8	,17488.9	,19849.9	,18239.0	,25756.0	,
金融交易资金来源其他对外债权债务 (亿元) 	,	,	,2229.7	,-8634.0	,14311.0	,12289.6	,385.9	,7984.8	,1916.0	,14974.6	,
金融交易资金来源国际储备资产 (亿元) 	,	,	,1129.0	,6723.0	,12165.0	,1931.7	,-1330.8	,1249.8	,6179.0	,-29469.4	,
金融交易资金来源国际收支错误与遗漏 (亿元) 	,	,	,-2081.9	,-3996.0	,-11498.0	,-12190.2	,-16086.4	,-10601.3	,-14982.0	,-14792.9	,
非金融企业部门金融交易资金运用净金融投资 (亿元) 	,	,	,-113059.0	,-99320.0	,-40102.0	,-25112.8	,-55098.6	,-79874.5	,-56254.0	,-16006.9	,
非金融企业部门金融交易资金运用资金运用 (亿元) 	,	,	,64189.6	,70805.0	,89993.0	,122598.8	,39035.6	,-4162.5	,72537.0	,124236.6	,
非金融企业部门金融交易资金运用资金来源 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金运用通货 (亿元) 	,	,	,783.3	,1237.0	,586.0	,641.3	,358.3	,230.7	,211.0	,457.9	,
非金融企业部门金融交易资金运用存款 (亿元) 	,	,	,38038.7	,51633.0	,49344.0	,75054.0	,33078.9	,11724.1	,50647.0	,83242.1	,
非金融企业部门金融交易资金运用贷款 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金运用证券 (亿元) 	,	,	,	,	,	,	,	,	,	,6361.3	,
非金融企业部门金融交易资金运用证券投资基金份额 (亿元) 	,	,	,9947.9	,7676.0	,17796.0	,14352.1	,3425.9	,8636.6	,5506.0	,3037.2	,
非金融企业部门金融交易资金运用证券公司客户保证金 (亿元) 	,	,	,-753.5	,16.0	,1094.0	,2111.2	,2231.2	,-565.0	,-1164.0	,-1609.0	,
非金融企业部门金融交易资金运用保险准备金 (亿元) 	,	,	,836.8	,1566.0	,938.0	,1156.3	,1448.0	,1070.8	,1151.0	,938.6	,
非金融企业部门金融交易资金运用未贴现的银行承兑汇票 (亿元) 	,	,	,-1784.2	,-3411.0	,-4916.0	,1745.9	,-4756.7	,-6342.9	,5381.0	,-19531.1	,
非金融企业部门金融交易资金运用金融机构往来 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金运用准备金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金运用库存现金 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金运用中央银行贷款 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
非金融企业部门金融交易资金运用其他 (净) (亿元) 	,	,	,250.1	,-3232.0	,4866.0	,7036.2	,-6899.1	,-33844.6	,-7661.0	,29705.3	,
非金融企业部门金融交易资金运用直接投资 (亿元) 	,	,	,11607.1	,8143.0	,8142.0	,7582.0	,6740.0	,6384.0	,6881.0	,14427.2	,
数据来源：国家统计局
