数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
国内非金融交易资金来源增加值 (亿元) 	,	,	,1294271.7	,1234029.4	,1173823.0	,1034867.6	,1005872.4	,936010.1	,847382.9	,761193.0	,
国内非金融交易资金来源劳动者报酬 (亿元) 	,	,	,687736.0	,650204.4	,601351.1	,538447.4	,519988.1	,475562.8	,430722.2	,386100.1	,
国内非金融交易资金来源生产税净额 (亿元) 	,	,	,103970.7	,102960.5	,94425.9	,83860.0	,93517.5	,94503.1	,89429.1	,83022.2	,
国内非金融交易资金来源财产收入 (亿元) 	,	,	,219437.8	,212546.1	,205255.0	,181385.6	,172722.6	,151658.1	,149336.0	,137695.0	,
国内非金融交易资金来源利息 (亿元) 	,	,	,165753.4	,157359.1	,160028.5	,142731.2	,132530.9	,118813.0	,116031.2	,107495.5	,
国内非金融交易资金来源红利 (亿元) 	,	,	,31242.6	,31947.5	,26535.0	,21606.4	,25687.0	,19608.6	,20010.5	,18157.7	,
国内非金融交易资金来源地租 (亿元) 	,	,	,14885.0	,15009.8	,10501.6	,9851.8	,8496.2	,7691.4	,7822.0	,6877.4	,
国内非金融交易资金来源其他财产收入 (亿元) 	,	,	,7556.8	,8229.7	,8189.9	,7196.3	,6008.5	,5545.0	,5472.4	,5164.4	,
国内非金融交易资金来源初次分配总收入 (亿元) 	,	,	,1284773.9	,1223706.8	,1165816.8	,1026751.9	,1003108.4	,931972.5	,846292.7	,757492.0	,
国内非金融交易资金来源经常转移 (亿元) 	,	,	,265601.1	,250944.8	,238482.0	,203712.8	,207307.8	,198503.2	,158857.8	,140260.3	,
国内非金融交易资金来源所得税、财产税等经常税 (亿元) 	,	,	,55886.9	,58627.3	,56043.7	,48002.1	,47702.6	,49227.8	,44115.2	,38985.3	,
国内非金融交易资金来源社会保险缴款 (亿元) 	,	,	,88748.8	,79504.4	,74270.5	,54848.0	,64049.0	,61347.8	,46085.8	,39023.9	,
