数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
民族自治地方建筑业企业人数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方建筑业总产值 (亿元) 	,	,17234.77	,16972.39	,	,	,13940.00	,	,	,	,	,
民族自治地方施工房屋面积 (万平方米) 	,	,52549.34	,66222.53	,	,	,61322.45	,	,	,	,	,
民族自治地方竣工房屋面积 (万平方米) 	,	,14152.19	,16537.06	,	,	,19100.82	,	,	,	,	,
民族自治地方铁路营业里程 (万公里) 	,	,4.68	,4.18	,	,	,3.58	,	,	,	,	,
民族自治地方公路通车里程 (万公里) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方邮电业务总量 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方邮路及农村投递线路总长度 (万公里) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方社会消费品零售总额 (亿元) 	,	,32338.00	,30740.59	,	,	,27550.63	,	,	,	,	,
民族自治地方进出口总额 (亿美元) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方出口额 (亿美元) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方进口额 (亿美元) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方国际游客 (万人次) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方旅游外汇收入 (亿美元) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方金融机构各项存款 (亿元) 	,	,186359.21	,172534.84	,	,	,133128.32	,	,	,	,	,
民族自治地方金融机构各项贷款 (亿元) 	,	,175385.28	,161706.19	,	,	,121329.62	,	,	,	,	,
民族自治地方普通高等学校在校学生数 (万人) 	,	,357.63	,347.73	,	,	,279.76	,	,	,	,	,
民族自治地方普通中学在校学生数 (万人) 	,	,1237.21	,1199.63	,	,	,1108.24	,	,	,	,	,
民族自治地方普通小学在校学生数 (万人) 	,	,1624.72	,1671.81	,	,	,1621.49	,	,	,	,	,
民族自治地方普通高等学校专任教师数 (万人) 	,	,17.24	,15.83	,	,	,13.66	,	,	,	,	,
民族自治地方普通中学专任教师数 (万人) 	,	,91.32	,88.52	,	,	,81.03	,	,	,	,	,
民族自治地方普通小学专任教师数 (万人) 	,	,100.60	,100.50	,	,	,98.72	,	,	,	,	,
民族自治地方图书出版量 (万册) 	,	,79867.59	,80878.80	,	,	,70656.35	,	,	,	,	,
注：1. 民族自治地方是指5个民族自治区、30个民族自治州和120个民族自治县（旗）的全部民族自治范围，且不重复计算。
2. 成品糖1997年及以前名称为糖，产量包括土糖，1998-2004年名称为机制糖。
数据来源：国家统计局
