数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
民族自治地方医院、卫生院数 (万个) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方医院、卫生院床位 (万张) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方福利类收养单位床位数 (万张) 	,	,46.27	,48.11	,	,	,43.13	,	,	,	,	,
民族自治地方城镇社区服务设施数 (个) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方城乡最低生活保障人数 (万人) 	,	,1116.88	,1147.74	,	,	,1252.35	,	,	,	,	,
国民总收入 (亿元) 	,1394052.9	,1340429.0	,1284773.9	,1223706.8	,1165816.8	,1026751.9	,1003108.4	,931972.5	,846292.7	,757492.0	,
国内生产总值 (亿元) 	,1401879.2	,1348066.2	,1294271.7	,1234029.4	,1173823.0	,1034867.6	,1005872.4	,936010.1	,847382.9	,761193.0	,
第一产业增加值 (亿元) 	,93346.8	,91635.8	,89169.1	,88207.0	,83216.5	,78030.9	,70473.6	,64745.2	,62099.5	,60139.2	,
第二产业增加值 (亿元) 	,499653.0	,490305.4	,475936.1	,467629.6	,447138.2	,381985.8	,379860.0	,364835.2	,331580.5	,295427.8	,
第三产业增加值 (亿元) 	,808879.3	,766124.9	,729166.5	,678192.7	,643468.4	,574850.9	,555538.9	,506429.8	,453702.9	,405626.0	,
人均国内生产总值 (元) 	,99665	,95677	,91746	,87385	,83111	,73338	,71453	,66726	,60691	,54849	,
国民总收入指数 (上年=100) 	,105.0	,105.1	,105.5	,103.0	,108.7	,101.8	,106.2	,106.4	,107.3	,106.8	,
国内生产总值指数 (上年=100) 	,105.0	,105.0	,105.4	,103.1	,108.6	,102.3	,106.1	,106.8	,106.9	,106.8	,
第一产业增加值指数 (上年=100) 	,103.9	,103.7	,104.1	,104.2	,107.1	,103.1	,103.1	,103.5	,104.0	,103.3	,
第二产业增加值指数 (上年=100) 	,104.5	,105.0	,104.4	,102.3	,108.2	,102.1	,104.6	,105.8	,105.9	,106.0	,
第三产业增加值指数 (上年=100) 	,105.4	,105.1	,106.3	,103.5	,109.0	,102.4	,107.6	,108.0	,108.1	,107.9	,
人均国内生产总值指数 (上年=100) 	,105.1	,105.1	,105.5	,103.1	,108.5	,102.1	,105.7	,106.3	,106.2	,106.2	,
国民总收入指数 (1978年=100) 	,5225.1	,4977.8	,4734.6	,4486.7	,4357.2	,4009.1	,3937.5	,3706.5	,3482.4	,3246.2	,
国内生产总值指数 (1978年=100) 	,5254.4	,5006.1	,4769.6	,4524.6	,4387.1	,4040.8	,3948.4	,3722.5	,3486.9	,3262.1	,
第一产业增加值指数 (1978年=100) 	,739.3	,711.3	,686.1	,659.4	,632.8	,591.0	,573.1	,555.9	,537.2	,516.8	,
第二产业增加值指数 (1978年=100) 	,7565.3	,7239.6	,6891.7	,6603.0	,6454.5	,5964.8	,5840.2	,5585.9	,5280.1	,4987.4	,
第三产业增加值指数 (1978年=100) 	,7867.3	,7465.2	,7104.8	,6685.1	,6456.5	,5922.6	,5785.0	,5376.8	,4980.5	,4606.7	,
人均国内生产总值指数 (1978年=100) 	,3571.8	,3397.3	,3232.8	,3063.5	,2970.0	,2738.0	,2681.8	,2537.4	,2387.9	,2247.5	,
三次产业构成-国内生产总值 (%) 	,100.0	,100.0	,100.0	,100.0	,100.0	,100.0	,100.0	,100.0	,100.0	,100.0	,
三次产业构成-第一产业增加值 (%) 	,6.7	,6.8	,6.9	,7.1	,7.1	,7.5	,7.0	,6.9	,7.3	,7.9	,
三次产业构成-第二产业增加值 (%) 	,35.6	,36.4	,36.8	,37.9	,38.1	,36.9	,37.8	,39.0	,39.1	,38.8	,
三次产业构成-第三产业增加值 (%) 	,57.7	,56.8	,56.3	,55.0	,54.8	,55.5	,55.2	,54.1	,53.5	,53.3	,
国内生产总值 (亿元) 	,1401879.2	,1348066.2	,1294271.7	,1234029.4	,1173823.0	,1034867.6	,1005872.4	,936010.1	,847382.9	,761193.0	,
农林牧渔业增加值 (亿元) 	,99106.9	,96976.0	,93967.0	,92576.8	,86994.8	,81396.5	,73576.9	,67558.7	,64660.0	,62451.0	,
工业增加值 (亿元) 	,416826.0	,404518.5	,392183.0	,388651.6	,369903.7	,311231.2	,311011.2	,301089.3	,275119.3	,245406.4	,
建筑业增加值 (亿元) 	,86425.1	,88862.8	,86640.6	,81439.8	,79269.8	,72751.2	,70789.8	,65493.0	,57905.6	,51498.9	,
批发和零售业增加值 (亿元) 	,145808.0	,139191.6	,130809.7	,122177.5	,114358.0	,98569.1	,96864.9	,88903.7	,81156.6	,73724.5	,
交通运输、仓储和邮政业增加值 (亿元) 	,62092.1	,59045.4	,56438.3	,50967.7	,48439.0	,40712.1	,42611.1	,40631.6	,37383.7	,33259.8	,
住宿和餐饮业增加值 (亿元) 	,26403.1	,24894.5	,23084.2	,19146.2	,19064.4	,15855.5	,18249.2	,16520.6	,15056.0	,13607.8	,
金融业增加值 (亿元) 	,101336.6	,96955.7	,93926.9	,88051.5	,86409.2	,81159.0	,75113.7	,70610.3	,64844.3	,59964.0	,
房地产业增加值 (亿元) 	,83024.3	,84047.0	,87981.5	,88015.2	,90397.5	,85533.9	,83320.7	,77632.9	,69257.1	,62066.4	,
其他行业增加值 (亿元) 	,380857.2	,353574.8	,329240.5	,303003.0	,278986.7	,247659.0	,234334.9	,207569.9	,182000.3	,159214.1	,
国内生产总值指数 (上年=100) 	,105.0	,105.0	,105.4	,103.1	,108.6	,102.3	,106.1	,106.8	,106.9	,106.8	,
农林牧渔业增加值指数 (上年=100) 	,104.1	,104.0	,104.2	,104.4	,107.1	,103.3	,103.2	,103.6	,104.1	,103.5	,
工业增加值指数 (上年=100) 	,105.8	,105.5	,103.8	,102.3	,109.8	,102.0	,104.4	,106.1	,106.2	,105.7	,
建筑业增加值指数 (上年=100) 	,98.9	,102.9	,107.1	,102.9	,101.1	,102.7	,105.2	,104.8	,103.9	,107.7	,
批发和零售业增加值指数 (上年=100) 	,105.0	,106.5	,107.2	,103.5	,112.1	,100.2	,106.7	,106.7	,107.8	,107.7	,
交通运输、仓储和邮政业增加值指数 (上年=100) 	,105.2	,106.7	,108.0	,100.8	,115.3	,100.8	,106.5	,108.2	,109.5	,106.9	,
住宿和餐饮业增加值指数 (上年=100) 	,104.9	,107.0	,116.3	,98.9	,117.6	,84.6	,107.3	,106.7	,108.2	,107.7	,
金融业增加值指数 (上年=100) 	,104.5	,103.7	,105.2	,101.6	,102.4	,104.3	,105.0	,104.8	,104.8	,104.8	,
房地产业增加值指数 (上年=100) 	,100.2	,97.8	,99.3	,97.0	,104.1	,101.9	,103.2	,104.0	,106.0	,107.6	,
其他行业增加值指数 (上年=100) 	,107.0	,106.4	,107.3	,106.8	,110.1	,104.5	,110.6	,111.1	,110.1	,109.7	,
国内生产总值指数 (1978年=100) 	,5254.4	,5006.1	,4769.6	,4524.6	,4387.1	,4040.8	,3948.4	,3722.5	,3486.9	,3262.1	,
农林牧渔业增加值指数 (1978年=100) 	,773.0	,742.3	,713.7	,685.0	,656.2	,612.8	,593.1	,574.5	,554.2	,532.4	,
工业增加值指数 (1978年=100) 	,7872.1	,7440.0	,7049.8	,6788.7	,6636.7	,6043.0	,5924.2	,5672.6	,5346.7	,5033.4	,
建筑业增加值指数 (1978年=100) 	,5886.4	,5953.9	,5786.9	,5401.1	,5248.4	,5190.2	,5051.4	,4799.5	,4578.7	,4405.6	,
批发和零售业增加值指数 (1978年=100) 	,7186.3	,6841.2	,6426.1	,5992.6	,5789.9	,5164.8	,5154.4	,4829.0	,4526.5	,4198.3	,
交通运输、仓储和邮政业增加值指数 (1978年=100) 	,4868.1	,4627.2	,4336.9	,4014.0	,3981.7	,3453.6	,3425.5	,3217.3	,2972.8	,2714.8	,
住宿和餐饮业增加值指数 (1978年=100) 	,8357.0	,7967.2	,7445.0	,6402.5	,6472.6	,5504.6	,6509.6	,6064.8	,5684.8	,5255.8	,
金融业增加值指数 (1978年=100) 	,12546.3	,12003.7	,11576.8	,11003.6	,10831.1	,10573.0	,10136.2	,9657.6	,9216.9	,8798.1	,
房地产业增加值指数 (1978年=100) 	,6131.4	,6119.0	,6254.4	,6301.6	,6494.8	,6241.6	,6122.4	,5931.9	,5705.6	,5381.5	,
其他行业增加值指数 (1978年=100) 	,9842.8	,9198.4	,8643.8	,8056.0	,7539.7	,6844.9	,6550.5	,5920.7	,5330.2	,4839.1	,
分行业增加值构成-国内生产总值 (%) 	,100.0	,100.0	,100.0	,100.0	,100.0	,100.0	,100.0	,100.0	,100.0	,100.0	,
分行业增加值构成-农林牧渔业增加值 (%) 	,7.1	,7.2	,7.3	,7.5	,7.4	,7.9	,7.3	,7.2	,7.6	,8.2	,
分行业增加值构成-工业增加值 (%) 	,29.7	,30.0	,30.3	,31.5	,31.5	,30.1	,30.9	,32.2	,32.5	,32.2	,
分行业增加值构成-建筑业增加值 (%) 	,6.2	,6.6	,6.7	,6.6	,6.8	,7.0	,7.0	,7.0	,6.8	,6.8	,
分行业增加值构成-批发和零售业增加值 (%) 	,10.4	,10.3	,10.1	,9.9	,9.7	,9.5	,9.6	,9.5	,9.6	,9.7	,
分行业增加值构成-交通运输、仓储和邮政业增加值 (%) 	,4.4	,4.4	,4.4	,4.1	,4.1	,3.9	,4.2	,4.3	,4.4	,4.4	,
分行业增加值构成-住宿和餐饮业增加值 (%) 	,1.9	,1.8	,1.8	,1.6	,1.6	,1.5	,1.8	,1.8	,1.8	,1.8	,
