学号,性别,民族,省份,语文,外语,数学
1181020200133 ,女,汉族,海南省,215,214,181
1181020200134 ,女,汉族,海南省,197,197,205
1181020200135 ,女,汉族,海南省,193,217,202
1181020200136 ,男,汉族,海南省,189,207,200
1181020200137 ,女,黎族,海南省,213,214,180
1181020200138 ,男,汉族,海南省,187,194,205
1181020200139 ,男,汉族,海南省,217,195,175
1181020200140 ,男,汉族,海南省,211,188,199
1181020200141 ,男,汉族,海南省,203,189,207
1181020200142 ,女,黎族,海南省,189,197,209
1181020200143 ,女,汉族,海南省,219,193,193
1181020200144 ,女,汉族,海南省,203,191,179
1181020200145 ,男,汉族,海南省,176,182,225
1181020200146 ,女,汉族,海南省,145,212,212
1181020200147 ,女,汉族,海南省,189,215,185
1181020200148 ,男,汉族,海南省,203,177,204
1181020200149 ,女,黎族,海南省,197,185,210
1181020200150 ,女,汉族,海南省,185,193,198
1181020200151 ,男,汉族,海南省,209,198,201
1181020200152 ,女,汉族,海南省,189,175,214
1181020200153 ,女,汉族,海南省,191,199,203
1181020200154 ,男,汉族,海南省,213,180,197
1181020200155 ,男,黎族,海南省,179,181,203
1181020200156 ,男,汉族,海南省,193,153,215
1181020200157 ,男,汉族,海南省,166,179,215
1181020200158 ,女,黎族,海南省,189,183,165
1181020200159 ,男,汉族,江苏省,106,94,140
1181020200160 ,女,汉族,江苏省,122,90,122
1181020200161 ,女,汉族,江苏省,126,95,117
1181020200162 ,男,汉族,江苏省,113,99,125
1181020200163 ,男,汉族,江苏省,118,99,115
1181020200164 ,男,汉族,江苏省,123,96,111
1181020200165 ,女,汉族,江苏省,118,101,118
1181020200166 ,女,汉族,江苏省,114,96,121
1181020200167 ,男,汉族,江苏省,112,97,129
1181020200168 ,男,汉族,江苏省,109,91,128
1181020200169 ,男,汉族,江苏省,116,97,120
1181020200170 ,男,汉族,江苏省,115,97,121
1181020200171 ,男,汉族,江苏省,112,90,131
1181020200172 ,女,汉族,江苏省,124,98,109
1181020200173 ,女,汉族,江苏省,117,100,123
1181020200174 ,男,汉族,江苏省,119,101,121
1181020200175 ,男,汉族,江苏省,108,92,131
1181020200176 ,男,汉族,江苏省,122,85,125
1181020200177 ,男,汉族,江苏省,121,92,120
1181020200178 ,女,汉族,江苏省,122,95,116
1181020200179 ,男,汉族,江苏省,115,90,123
1181020200180 ,男,汉族,江苏省,115,96,121
1181020200181 ,男,汉族,江苏省,115,92,124
1181020200182 ,男,汉族,江苏省,117,97,120
1181020200183 ,男,汉族,江苏省,107,93,130
1181020200184 ,男,汉族,江苏省,110,101,122
1181020200185 ,男,汉族,江苏省,125,95,113
1181020200186 ,男,汉族,江苏省,106,100,122
1181020200187 ,男,汉族,江苏省,121,91,118
1181020200188 ,男,汉族,江苏省,116,96,118
1181020200189 ,男,汉族,江苏省,114,92,122
1181020200190 ,男,汉族,江苏省,108,94,132
1181020200191 ,女,汉族,江苏省,111,85,130
1181020200192 ,女,汉族,江苏省,120,97,111
1181020200193 ,男,汉族,江苏省,107,105,117
1181020200194 ,男,汉族,江苏省,111,88,128
1181020200195 ,男,汉族,江苏省,113,97,125
1181020200196 ,男,汉族,江苏省,126,73,130
1181020200197 ,女,汉族,江苏省,117,97,114
1181020200198 ,男,汉族,江苏省,110,96,120
1181020200199 ,男,汉族,江苏省,118,85,127
1181020200200 ,男,汉族,江苏省,121,94,113
1181020200201 ,女,汉族,江苏省,104,100,126
1181020200202 ,女,汉族,江苏省,113,93,127
1181020200203 ,女,汉族,江苏省,119,87,124
1181020200204 ,男,汉族,江苏省,114,102,113
1181020200205 ,男,汉族,江苏省,123,85,118
1181020200206 ,男,汉族,江苏省,122,89,116
1181020200207 ,女,汉族,江苏省,126,90,113
1181020200208 ,男,汉族,江苏省,117,90,126
1181020200209 ,男,汉族,江苏省,105,86,142
1181020200210 ,女,汉族,江苏省,120,92,115
1181020200211 ,男,汉族,海南省,189,181,246
1181020200212 ,女,汉族,海南省,207,217,174
1181020200213 ,女,汉族,海南省,230,216,205
1181020200214 ,女,汉族,海南省,215,213,200
1181020200215 ,女,汉族,海南省,226,210,198
1181020200216 ,男,汉族,海南省,235,180,230
1181020200217 ,男,汉族,海南省,195,209,216
1181020200218 ,男,汉族,海南省,199,226,206
1181020200219 ,女,黎族,海南省,217,202,213
1181020200220 ,女,汉族,海南省,201,227,215
1181020200221 ,女,汉族,海南省,207,222,194
1181020200222 ,女,汉族,海南省,193,208,212
1181020200223 ,女,汉族,海南省,221,215,194
1181020200224 ,女,汉族,海南省,233,202,201
1181020200225 ,男,汉族,海南省,199,208,203
1181020200226 ,男,汉族,海南省,195,196,227
1181020200227 ,男,汉族,海南省,217,195,220
1181020200228 ,男,汉族,海南省,159,188,252
1181020200229 ,女,汉族,海南省,215,226,181
1181020200230 ,男,汉族,海南省,213,190,220
1181020200231 ,女,汉族,海南省,217,212,200
1181020200232 ,男,汉族,海南省,211,214,196
1181020200233 ,男,汉族,海南省,207,182,228
1181020200234 ,女,汉族,海南省,223,204,214
1181020200235 ,女,汉族,海南省,215,203,205
1181020200236 ,女,汉族,海南省,248,203,201
1181020200237 ,女,汉族,海南省,211,206,188
1181020200238 ,男,汉族,海南省,185,194,231
1181020200239 ,女,汉族,海南省,250,203,186
1181020200240 ,女,汉族,海南省,242,192,189
1181020200241 ,女,汉族,海南省,199,191,217
1181020200242 ,女,汉族,海南省,203,209,211
1181020200243 ,男,汉族,海南省,205,194,195
1181020200244 ,女,汉族,海南省,215,192,196
1181020200245 ,女,黎族,海南省,230,198,170
1181020200246 ,男,汉族,海南省,211,171,215
