学号,性别,民族,省份,语文,外语,数学
1181020200564 ,女,汉族,河北省,113,107,125
1181020200565 ,男,满族,河北省,113,100,125
1181020200566 ,男,汉族,河北省,116,112,89
1181020200567 ,女,汉族,河北省,110,105,112
1181020200568 ,男,汉族,河北省,116,112,102
1181020200569 ,男,汉族,河北省,105,110,126
1181020200570 ,女,汉族,河北省,117,127,106
1181020200571 ,男,汉族,河北省,117,90,110
1181020200572 ,女,汉族,河北省,113,124,111
1181020200573 ,女,汉族,河北省,115,108,111
1181020200574 ,男,汉族,河北省,109,108,99
1181020200575 ,男,汉族,河北省,105,117,89
1181020200576 ,女,汉族,河北省,112,108,112
1181020200577 ,男,汉族,河北省,105,117,115
1181020200578 ,男,汉族,河北省,99,111,99
1181020200579 ,男,汉族,河北省,119,114,116
1181020200580 ,女,汉族,河北省,118,118,111
1181020200581 ,男,汉族,河北省,118,108,100
1181020200582 ,女,汉族,河北省,111,129,116
1181020200583 ,女,汉族,河北省,117,129,114
1181020200584 ,女,汉族,河北省,118,132,113
1181020200585 ,女,汉族,河北省,112,112,121
1181020200586 ,女,汉族,河北省,119,99,122
1181020200587 ,女,汉族,辽宁省,110,120,94
1181020200588 ,女,汉族,辽宁省,111,108,102
1181020200589 ,女,满族,辽宁省,113,106,86
1181020200590 ,女,汉族,辽宁省,114,113,85
1181020200591 ,女,汉族,辽宁省,116,123,104
1181020200592 ,女,汉族,辽宁省,110,126,100
1181020200593 ,男,汉族,辽宁省,102,107,108
1181020200594 ,男,汉族,辽宁省,117,119,85
1181020200595 ,男,汉族,辽宁省,100,88,122
1181020200596 ,男,汉族,辽宁省,102,79,118
1181020200597 ,男,汉族,辽宁省,112,119,72
1181020200598 ,女,满族,辽宁省,110,111,92
1181020200599 ,女,汉族,辽宁省,109,114,96
1181020200600 ,女,满族,辽宁省,117,106,93
1181020200601 ,女,汉族,辽宁省,122,109,81
1181020200602 ,男,汉族,辽宁省,115,113,98
1181020200603 ,男,汉族,辽宁省,87,86,96
1181020200604 ,男,满族,辽宁省,102,108,91
1181020200605 ,女,汉族,辽宁省,109,96,100
1181020200606 ,女,满族,辽宁省,121,121,77
1181020200607 ,女,汉族,辽宁省,102,136,98
1181020200608 ,女,汉族,辽宁省,116,92,88
1181020200609 ,女,汉族,辽宁省,96,112,82
1181020200610 ,女,汉族,辽宁省,109,115,96
1181020200611 ,男,满族,辽宁省,93,105,88
1181020200612 ,女,汉族,广东省,117,134,110
1181020200613 ,女,汉族,广东省,125,110,93
1181020200614 ,女,汉族,广东省,125,120,87
1181020200615 ,女,汉族,广东省,119,102,113
1181020200616 ,男,汉族,广东省,106,92,109
1181020200617 ,男,汉族,广东省,113,121,106
1181020200618 ,男,汉族,广东省,105,106,116
1181020200619 ,女,汉族,广东省,113,115,104
1181020200620 ,男,汉族,广东省,99,105,120
1181020200621 ,男,汉族,广东省,114,113,96
1181020200622 ,男,汉族,广东省,109,101,111
1181020200623 ,男,汉族,广东省,109,109,111
1181020200624 ,男,汉族,广东省,102,103,122
1181020200625 ,女,汉族,广东省,121,123,110
1181020200626 ,男,汉族,广东省,105,110,104
1181020200627 ,男,汉族,广东省,112,107,91
1181020200628 ,女,汉族,广东省,108,115,106
1181020200629 ,男,汉族,广东省,101,104,121
1181020200630 ,女,汉族,广东省,120,102,104
1181020200631 ,男,汉族,广东省,108,120,116
1181020200632 ,男,汉族,广东省,102,107,122
1181020200633 ,女,汉族,广东省,117,121,108
1181020200634 ,女,汉族,广东省,116,126,92
1181020200635 ,女,汉族,广东省,117,113,105
1181020200636 ,男,汉族,广东省,106,116,97
1181020200637 ,女,穿青人,贵州省,105,126,107
1181020200638 ,女,汉族,贵州省,108,120,100
1181020200639 ,女,土家族,贵州省,109,100,85
1181020200640 ,男,汉族,贵州省,105,131,90
1181020200641 ,男,汉族,贵州省,109,113,90
1181020200642 ,女,汉族,贵州省,115,123,103
1181020200643 ,男,土家族,贵州省,94,86,103
1181020200644 ,女,汉族,贵州省,102,124,111
1181020200645 ,女,汉族,贵州省,107,129,98
1181020200646 ,女,布依族,贵州省,119,115,97
1181020200647 ,女,土家族,贵州省,100,110,106
1181020200648 ,男,汉族,贵州省,112,106,90
1181020200649 ,女,汉族,贵州省,110,112,114
1181020200650 ,男,汉族,贵州省,99,110,98
1181020200651 ,女,汉族,贵州省,114,92,104
1181020200652 ,女,汉族,贵州省,117,131,97
1181020200653 ,男,汉族,贵州省,103,98,95
1181020200654 ,女,侗族,贵州省,106,111,92
1181020200655 ,女,汉族,贵州省,117,105,84
1181020200656 ,女,布依族,贵州省,103,82,110
1181020200657 ,女,汉族,贵州省,112,111,84
1181020200658 ,男,汉族,贵州省,111,123,77
1181020200659 ,男,仡佬族,贵州省,100,97,113
1181020200660 ,男,汉族,贵州省,112,98,112
1181020200661 ,女,汉族,贵州省,121,114,106
1181020200662 ,女,汉族,贵州省,110,110,105
1181020200663 ,男,苗族,贵州省,118,66,102
1181020200664 ,女,侗族,贵州省,121,113,81
1181020200665 ,女,汉族,贵州省,104,113,101
1181020200666 ,男,侗族,贵州省,106,93,93
1181020200667 ,男,汉族,贵州省,103,101,91
1181020200668 ,女,汉族,贵州省,109,103,99
1181020200669 ,女,汉族,贵州省,110,128,94
1181020200670 ,女,汉族,贵州省,101,104,106
1181020200671 ,女,仡佬族,贵州省,113,109,82
1181020200672 ,女,汉族,贵州省,110,108,102
1181020200673 ,男,汉族,贵州省,110,75,82
1181020200674 ,女,汉族,贵州省,106,121,91
1181020200675 ,女,汉族,贵州省,116,105,93
1181020200676 ,女,苗族,贵州省,112,91,95
1181020200677 ,男,汉族,贵州省,104,106,108
1181020200678 ,男,汉族,贵州省,107,101,85
1181020200679 ,男,布依族,贵州省,100,117,102
1181020200680 ,女,汉族,贵州省,116,112,103
1181020200681 ,男,布依族,贵州省,110,89,115
1181020200682 ,女,汉族,贵州省,102,111,92
1181020200683 ,男,土家族,贵州省,103,123,101
1181020200684 ,女,汉族,贵州省,96,120,94
1181020200685 ,男,苗族,贵州省,105,85,103
1181020200686 ,女,汉族,贵州省,115,130,85
1181020200687 ,女,汉族,贵州省,94,101,99
1181020200688 ,女,汉族,贵州省,113,112,90
1181020200689 ,男,汉族,贵州省,106,86,98
1181020200690 ,男,汉族,贵州省,108,82,109
1181020200691 ,女,汉族,贵州省,103,115,82
1181020200692 ,男,汉族,贵州省,110,126,64
1181020200693 ,女,苗族,贵州省,110,123,94
1181020200694 ,男,土家族,贵州省,107,86,101
1181020200695 ,男,壮族,贵州省,110,119,89
1181020200696 ,男,汉族,贵州省,121,129,101
1181020200697 ,男,土家族,贵州省,105,101,112
1181020200698 ,女,苗族,贵州省,120,80,113
1181020200699 ,女,苗族,贵州省,109,126,95
1181020200700 ,女,穿青人,贵州省,112,116,105
1181020200701 ,女,汉族,甘肃省,113,120,84
1181020200702 ,女,汉族,甘肃省,114,111,106
1181020200703 ,女,汉族,甘肃省,114,123,91
1181020200704 ,女,汉族,甘肃省,117,99,110
1181020200705 ,女,汉族,甘肃省,104,107,94
1181020200706 ,男,汉族,甘肃省,89,99,108
1181020200707 ,男,汉族,甘肃省,114,86,87
1181020200708 ,女,汉族,甘肃省,115,94,86
1181020200709 ,女,汉族,甘肃省,98,106,109
1181020200710 ,女,汉族,甘肃省,113,111,110
1181020200711 ,男,汉族,甘肃省,112,114,100
1181020200712 ,男,汉族,甘肃省,89,116,99
1181020200713 ,男,汉族,甘肃省,99,104,84
1181020200714 ,男,汉族,甘肃省,111,113,102
1181020200715 ,男,汉族,甘肃省,104,110,88
1181020200716 ,男,汉族,甘肃省,117,108,74
1181020200717 ,女,汉族,甘肃省,99,118,109
1181020200718 ,男,汉族,甘肃省,97,93,102
1181020200719 ,女,汉族,甘肃省,104,115,94
1181020200720 ,女,汉族,湖南省,118,122,117
1181020200721 ,女,汉族,湖南省,106,134,120
1181020200722 ,女,汉族,湖南省,115,103,127
1181020200723 ,女,汉族,湖南省,114,119,107
1181020200724 ,男,汉族,湖南省,120,103,121
1181020200725 ,女,汉族,湖南省,108,113,123
1181020200726 ,男,汉族,湖南省,115,132,111
1181020200727 ,男,汉族,湖南省,110,123,114
1181020200728 ,男,汉族,湖南省,117,99,112
1181020200729 ,女,汉族,湖南省,115,131,110
1181020200730 ,女,汉族,湖南省,109,130,111
1181020200731 ,男,土家族,湖南省,107,101,121
1181020200732 ,男,汉族,湖南省,110,115,97
1181020200733 ,男,汉族,湖南省,110,123,111
1181020200734 ,女,汉族,湖南省,106,103,125
1181020200735 ,男,汉族,湖南省,103,112,127
1181020200736 ,男,汉族,湖南省,110,111,106
1181020200737 ,男,土家族,湖南省,113,119,115
1181020200738 ,男,汉族,湖南省,113,114,100
1181020200739 ,男,汉族,湖南省,112,123,109
1181020200740 ,男,苗族,湖南省,106,119,115
1181020200741 ,女,汉族,湖南省,113,112,113
1181020200742 ,男,汉族,湖南省,119,116,103
1181020200743 ,女,汉族,湖南省,115,133,124
1181020200744 ,男,汉族,湖南省,107,133,106
1181020200745 ,女,汉族,湖南省,116,117,120
1181020200746 ,女,汉族,湖南省,114,119,110
1181020200747 ,男,汉族,湖南省,104,112,122
1181020200748 ,男,汉族,湖南省,103,127,103
1181020200749 ,男,汉族,湖南省,102,129,105
1181020200750 ,男,汉族,湖南省,102,138,104
1181020200751 ,女,汉族,湖南省,117,106,120
1181020200752 ,女,汉族,湖南省,112,122,117
1181020200753 ,男,汉族,湖南省,108,119,121
1181020200754 ,男,汉族,湖南省,105,105,117
1181020200755 ,女,汉族,湖南省,104,134,95
1181020200756 ,男,土家族,湖南省,99,112,109
1181020200757 ,男,汉族,湖南省,98,131,118
1181020200758 ,男,汉族,湖南省,98,118,111
1181020200759 ,女,汉族,湖南省,118,95,122
1181020200760 ,男,侗族,湖南省,114,115,119
1181020200761 ,男,汉族,湖南省,114,103,109
1181020200762 ,男,汉族,湖南省,107,112,111
1181020200763 ,男,汉族,湖南省,101,108,124
1181020200764 ,男,汉族,湖南省,100,112,121
1181020200765 ,男,汉族,湖南省,117,109,97
1181020200766 ,女,汉族,湖南省,116,130,117
1181020200767 ,男,汉族,湖南省,113,117,96
1181020200768 ,男,汉族,湖南省,107,132,87
1181020200769 ,女,汉族,湖南省,100,108,127
1181020200770 ,男,汉族,湖南省,120,101,126
1181020200771 ,男,汉族,湖南省,120,101,119
1181020200772 ,男,汉族,湖南省,116,100,110
1181020200773 ,女,汉族,湖南省,116,134,102
1181020200774 ,男,瑶族,湖南省,112,107,98
1181020200775 ,男,汉族,湖南省,109,105,126
1181020200776 ,男,汉族,湖南省,105,121,98
1181020200777 ,男,汉族,湖南省,103,119,116
1181020200778 ,男,汉族,湖南省,112,107,98
1181020200779 ,男,汉族,湖南省,108,104,114
1181020200780 ,男,汉族,湖南省,104,116,114
1181020200781 ,男,汉族,湖南省,116,127,105
1181020200782 ,男,汉族,湖南省,115,94,119
1181020200783 ,男,汉族,湖南省,108,124,106
1181020200784 ,女,汉族,贵州省,110,123,114
1181020200785 ,男,汉族,贵州省,114,105,120
1181020200786 ,男,侗族,贵州省,108,116,96
1181020200787 ,女,侗族,贵州省,102,113,103
1181020200788 ,男,汉族,贵州省,96,110,102
1181020200789 ,女,布依族,贵州省,99,82,111
1181020200790 ,女,汉族,海南省,223,221,230
1181020200791 ,男,汉族,海南省,228,203,239
1181020200792 ,男,汉族,海南省,217,194,219
1181020200793 ,女,汉族,海南省,223,239,196
1181020200794 ,男,汉族,海南省,219,210,235
1181020200795 ,女,汉族,海南省,221,213,240
1181020200796 ,男,黎族,海南省,233,217,204
1181020200797 ,男,汉族,海南省,219,212,216
1181020200798 ,男,汉族,海南省,215,222,220
1181020200799 ,女,汉族,海南省,237,205,195
1181020200800 ,女,汉族,海南省,245,216,204
1181020200801 ,男,汉族,海南省,193,202,239
1181020200802 ,男,汉族,海南省,185,226,226
1181020200803 ,女,汉族,海南省,219,213,205
1181020200804 ,女,汉族,海南省,209,221,221
1181020200805 ,男,汉族,海南省,226,228,205
1181020200806 ,男,汉族,海南省,195,199,235
1181020200807 ,女,汉族,海南省,237,216,199
1181020200808 ,女,汉族,海南省,240,206,208
1181020200809 ,女,黎族,海南省,197,196,211
1181020200810 ,男,汉族,海南省,219,209,218
1181020200811 ,男,汉族,海南省,211,217,239
1181020200812 ,女,汉族,海南省,219,190,231
1181020200813 ,男,汉族,海南省,179,206,229
1181020200814 ,女,汉族,海南省,217,208,224
1181020200815 ,女,汉族,海南省,223,228,214
1181020200816 ,男,汉族,海南省,219,190,199
1181020200817 ,女,壮族,海南省,226,210,209
1181020200818 ,女,汉族,海南省,209,213,217
1181020200819 ,男,汉族,海南省,176,217,213
1181020200820 ,男,汉族,海南省,207,215,209
1181020200821 ,男,汉族,海南省,223,224,199
1181020200822 ,男,汉族,海南省,213,211,205
1181020200823 ,男,汉族,海南省,205,202,234
1181020200824 ,女,汉族,海南省,226,216,205
1181020200825 ,男,汉族,海南省,209,218,204
1181020200826 ,女,汉族,海南省,209,202,212
1181020200827 ,男,黎族,海南省,183,213,229
1181020200828 ,男,汉族,海南省,193,225,230
1181020200829 ,女,汉族,海南省,217,226,214
1181020200830 ,男,汉族,海南省,207,218,213
1181020200831 ,女,汉族,海南省,199,217,227
1181020200832 ,女,汉族,海南省,219,217,223
1181020200833 ,女,汉族,海南省,203,217,201
1181020200834 ,女,汉族,海南省,226,216,201
1181020200835 ,女,汉族,海南省,201,220,200
1181020200836 ,男,汉族,海南省,199,209,204
1181020200837 ,女,汉族,海南省,207,231,209
1181020200838 ,女,汉族,海南省,223,201,215
1181020200839 ,男,汉族,海南省,207,203,219
1181020200840 ,男,汉族,海南省,228,204,191
1181020200841 ,女,汉族,海南省,185,215,234
1181020200842 ,女,汉族,海南省,237,202,202
1181020200843 ,女,汉族,海南省,217,227,195
1181020200844 ,女,汉族,海南省,226,204,205
1181020200845 ,女,汉族,海南省,223,216,202
1181020200846 ,男,汉族,海南省,195,213,210
1181020200847 ,女,汉族,海南省,245,201,191
1181020200848 ,男,汉族,海南省,189,180,230
1181020200849 ,男,汉族,海南省,221,151,211
1181020200850 ,女,汉族,海南省,207,215,224
1181020200851 ,男,黎族,海南省,178,212,209
1181020200852 ,男,汉族,海南省,201,216,215
1181020200853 ,女,汉族,海南省,205,209,205
1181020200854 ,男,汉族,海南省,185,189,228
1181020200855 ,男,汉族,海南省,199,225,215
1181020200856 ,女,黎族,海南省,209,209,214
1181020200857 ,女,汉族,海南省,183,209,227
1181020200858 ,女,汉族,海南省,213,209,209
1181020200859 ,女,汉族,海南省,245,203,203
1181020200860 ,男,汉族,海南省,211,217,207
1181020200861 ,男,汉族,海南省,211,218,191
1181020200862 ,女,汉族,海南省,223,196,177
1181020200863 ,女,汉族,海南省,219,183,214
1181020200864 ,女,汉族,海南省,195,220,191
1181020200865 ,男,汉族,海南省,209,214,206
1181020200866 ,女,汉族,海南省,211,210,201
1181020200867 ,女,汉族,海南省,211,200,197
1181020200868 ,男,汉族,海南省,205,194,198
1181020200869 ,男,汉族,海南省,213,244,192
1181020200870 ,女,汉族,海南省,201,220,209
1181020200871 ,男,汉族,海南省,230,187,216
1181020200872 ,女,汉族,海南省,195,217,214
1181020200873 ,女,汉族,海南省,179,218,205
1181020200874 ,女,汉族,海南省,205,212,201
1181020200875 ,男,汉族,海南省,174,195,200
1181020200876 ,女,汉族,海南省,203,203,205
1181020200877 ,女,汉族,海南省,228,194,188
1181020200878 ,男,汉族,海南省,209,188,229
1181020200879 ,女,黎族,海南省,205,200,199
1181020200880 ,女,回族,海南省,228,236,192
1181020200881 ,男,汉族,海南省,219,184,211
1181020200882 ,女,汉族,海南省,207,199,203
1181020200883 ,女,汉族,海南省,211,193,196
1181020200884 ,女,汉族,海南省,185,202,208
1181020200885 ,女,汉族,海南省,211,231,192
1181020200886 ,女,汉族,海南省,219,209,198
1181020200887 ,男,汉族,海南省,179,203,210
1181020200888 ,女,汉族,海南省,203,200,228
1181020200889 ,女,黎族,海南省,197,199,208
1181020200890 ,男,汉族,海南省,168,229,209
1181020200891 ,男,汉族,海南省,183,204,213
1181020200892 ,男,汉族,海南省,189,201,221
1181020200893 ,男,黎族,海南省,213,201,212
1181020200894 ,女,汉族,海南省,211,215,192
1181020200895 ,女,汉族,海南省,201,202,205
1181020200896 ,女,汉族,海南省,211,208,209
1181020200897 ,男,汉族,海南省,209,191,217
1181020200898 ,男,汉族,海南省,203,194,202
1181020200899 ,男,汉族,海南省,193,203,215
1181020200900 ,男,汉族,海南省,201,216,192
1181020200901 ,男,汉族,海南省,197,195,203
1181020200902 ,男,黎族,海南省,211,190,209
1181020200903 ,女,黎族,海南省,211,223,189
1181020200904 ,男,汉族,海南省,211,193,220
1181020200905 ,女,汉族,海南省,209,220,195
1181020200906 ,女,汉族,海南省,178,194,221
1181020200907 ,女,汉族,海南省,191,204,219
1181020200908 ,男,汉族,海南省,213,194,188
1181020200909 ,女,汉族,海南省,203,198,208
1181020200910 ,男,汉族,海南省,211,188,227
1181020200911 ,男,汉族,海南省,203,188,205
1181020200912 ,女,黎族,海南省,205,205,214
1181020200913 ,女,汉族,海南省,187,208,220
1181020200914 ,男,汉族,海南省,215,190,184
1181020200915 ,女,汉族,海南省,189,209,191
1181020200916 ,女,汉族,海南省,209,198,206
1181020200917 ,男,汉族,海南省,205,186,196
1181020200918 ,女,汉族,海南省,201,222,215
1181020200919 ,女,汉族,海南省,242,197,178
1181020200920 ,女,汉族,海南省,207,214,189
1181020200921 ,男,汉族,海南省,189,200,220
1181020200922 ,男,汉族,海南省,215,178,215
1181020200923 ,女,汉族,海南省,207,211,197
1181020200924 ,男,汉族,海南省,219,174,203
1181020200925 ,男,汉族,海南省,197,170,218
1181020200926 ,男,汉族,海南省,195,191,208
1181020200927 ,男,汉族,海南省,221,200,205
1181020200928 ,女,汉族,海南省,199,200,204
1181020200929 ,男,汉族,海南省,226,190,198
1181020200930 ,女,汉族,海南省,205,202,209
1181020200931 ,女,汉族,海南省,209,214,206
1181020200932 ,女,汉族,海南省,205,209,201
1181020200933 ,男,汉族,海南省,199,208,225
1181020200934 ,女,汉族,海南省,203,212,192
1181020200935 ,女,汉族,海南省,209,210,172
1181020200936 ,女,汉族,海南省,203,218,201
1181020200937 ,男,汉族,海南省,187,186,221
1181020200938 ,女,汉族,海南省,235,191,201
1181020200939 ,女,汉族,海南省,207,197,209
1181020200940 ,女,汉族,海南省,197,198,212
1181020200941 ,女,汉族,海南省,205,210,195
1181020200942 ,男,黎族,海南省,203,214,202
1181020200943 ,男,汉族,海南省,199,199,195
1181020200944 ,女,汉族,海南省,207,194,181
1181020200945 ,女,汉族,海南省,209,204,197
1181020200946 ,女,汉族,海南省,217,201,199
1181020200947 ,男,汉族,海南省,195,193,194
1181020200948 ,女,黎族,海南省,209,219,189
1181020200949 ,男,汉族,海南省,219,201,178
1181020200950 ,女,汉族,海南省,195,205,187
1181020200951 ,女,汉族,海南省,195,199,208
1181020200952 ,男,黎族,海南省,203,187,195
1181020200953 ,女,汉族,海南省,211,202,187
1181020200954 ,女,汉族,海南省,230,198,197
1181020200955 ,女,汉族,海南省,166,224,209
1181020200956 ,女,汉族,海南省,209,199,180
1181020200957 ,男,汉族,海南省,221,198,197
1181020200958 ,女,汉族,海南省,195,193,221
1181020200959 ,男,汉族,海南省,201,209,189
1181020200960 ,女,汉族,海南省,205,198,199
1181020200961 ,女,汉族,海南省,207,202,186
1181020200962 ,女,汉族,海南省,226,198,191
1181020200963 ,男,汉族,海南省,195,198,194
1181020200964 ,女,汉族,海南省,211,195,194
1181020200965 ,女,黎族,海南省,201,195,203
1181020200966 ,女,汉族,海南省,203,203,196
1181020200967 ,男,黎族,海南省,207,168,201
1181020200968 ,女,汉族,海南省,215,204,179
1181020200969 ,女,汉族,海南省,203,190,211
1181020200970 ,男,汉族,海南省,170,209,199
1181020200971 ,女,汉族,海南省,178,193,208
1181020200972 ,女,黎族,海南省,205,203,188
1181020200973 ,女,汉族,海南省,219,203,186
1181020200974 ,女,汉族,海南省,191,200,203
1181020200975 ,女,汉族,海南省,199,217,209
1181020200976 ,男,汉族,海南省,185,196,230
1181020200977 ,女,黎族,海南省,195,199,194
1181020200978 ,女,汉族,海南省,226,193,192
1181020200979 ,男,汉族,海南省,193,164,198
1181020200980 ,女,汉族,海南省,215,203,199
1181020200981 ,女,汉族,海南省,205,199,183
1181020200982 ,男,汉族,海南省,211,217,184
1181020200983 ,女,汉族,海南省,217,199,194
1181020200984 ,女,汉族,海南省,199,213,193
1181020200985 ,女,汉族,海南省,191,215,197
1181020200986 ,女,汉族,海南省,219,201,191
1181020200987 ,男,汉族,海南省,181,209,188
1181020200988 ,女,汉族,海南省,189,221,196
1181020200989 ,女,汉族,海南省,176,207,196
1181020200990 ,男,汉族,海南省,207,203,193
1181020200991 ,女,汉族,海南省,195,190,234
1181020200992 ,男,汉族,海南省,193,218,209
1181020200993 ,女,汉族,海南省,199,186,212
1181020200994 ,女,汉族,海南省,203,195,197
1181020200995 ,女,汉族,海南省,191,212,179
1181020200996 ,男,汉族,海南省,221,190,199
1181020200997 ,男,汉族,海南省,193,187,225
1181020200998 ,女,汉族,海南省,197,202,201
1181020200999 ,女,汉族,海南省,187,205,212
1181020201000 ,女,汉族,海南省,195,193,184
1181020201001 ,女,汉族,海南省,205,201,201
1181020201002 ,女,汉族,海南省,207,184,201
1181020201003 ,女,汉族,海南省,181,205,219
1181020201004 ,女,汉族,海南省,221,191,198
1181020201005 ,女,汉族,海南省,209,205,184
1181020201006 ,女,汉族,海南省,215,200,192
1181020201007 ,女,汉族,海南省,205,206,204
1181020201008 ,女,汉族,海南省,199,215,212
1181020201009 ,女,汉族,海南省,221,213,188
1181020201010 ,女,汉族,海南省,201,211,200
1181020201011 ,女,汉族,海南省,223,190,182
1181020201012 ,女,汉族,海南省,223,184,202
1181020201013 ,男,汉族,海南省,207,195,206
1181020201014 ,女,汉族,海南省,205,205,188
1181020201015 ,男,汉族,海南省,207,198,188
1181020201016 ,女,汉族,海南省,191,213,188
1181020201017 ,男,黎族,海南省,217,186,188
1181020201018 ,女,汉族,海南省,189,210,205
1181020201019 ,女,汉族,海南省,193,197,220
1181020201020 ,女,汉族,海南省,199,205,208
1181020201021 ,女,汉族,海南省,205,229,195
1181020201022 ,男,汉族,海南省,183,181,201
1181020201023 ,女,汉族,海南省,228,191,201
1181020201024 ,女,汉族,海南省,193,198,211
1181020201025 ,男,汉族,海南省,213,212,198
1181020201026 ,女,汉族,海南省,211,194,189
1181020201027 ,女,汉族,海南省,195,187,205
1181020201028 ,女,黎族,海南省,215,204,188
1181020201029 ,女,汉族,海南省,187,191,205
1181020201030 ,男,汉族,海南省,207,170,201
1181020201031 ,男,汉族,海南省,179,202,198
1181020201032 ,男,汉族,海南省,203,200,203
1181020201033 ,女,汉族,海南省,233,201,181
1181020201034 ,女,汉族,海南省,193,209,202
1181020201035 ,女,汉族,海南省,213,231,174
1181020201036 ,女,黎族,海南省,215,195,212
1181020201037 ,男,黎族,海南省,201,166,205
1181020201038 ,女,汉族,海南省,219,181,195
1181020201039 ,女,汉族,海南省,187,203,206
1181020201040 ,女,汉族,海南省,189,195,191
1181020201041 ,男,汉族,海南省,201,176,203
1181020201042 ,女,汉族,海南省,201,192,191
1181020201043 ,女,汉族,海南省,161,207,205
1181020201044 ,男,汉族,海南省,205,200,209
1181020201045 ,女,汉族,海南省,207,201,197
1181020201046 ,女,汉族,海南省,197,191,193
1181020201047 ,女,汉族,海南省,187,200,191
1181020201048 ,女,汉族,海南省,211,214,195
1181020201049 ,女,汉族,海南省,203,213,205
1181020201050 ,女,汉族,海南省,203,194,197
1181020201051 ,女,汉族,海南省,233,183,196
1181020201052 ,女,汉族,海南省,235,212,184
1181020201053 ,男,黎族,海南省,209,176,180
1181020201054 ,女,汉族,海南省,197,200,199
1181020201055 ,男,汉族,海南省,207,196,186
1181020201056 ,女,汉族,海南省,181,212,211
1181020201057 ,女,汉族,海南省,191,182,220
1181020201058 ,女,汉族,海南省,215,186,195
1181020201059 ,女,汉族,海南省,209,205,197
1181020201060 ,女,汉族,海南省,193,199,207
1181020201061 ,女,汉族,海南省,199,195,185
1181020201062 ,男,汉族,海南省,193,198,211
1181020201063 ,男,汉族,海南省,189,190,246
1181020201064 ,女,汉族,海南省,199,206,205
1181020201065 ,女,汉族,海南省,207,186,205
1181020201066 ,女,汉族,海南省,223,193,203
1181020201067 ,女,汉族,海南省,193,194,193
1181020201068 ,男,汉族,海南省,179,193,199
1181020201069 ,男,黎族,海南省,205,178,208
1181020201070 ,女,汉族,海南省,201,200,215
1181020201071 ,男,汉族,海南省,183,204,205
1181020201072 ,女,汉族,海南省,211,203,197
1181020201073 ,女,汉族,海南省,155,210,191
1181020201074 ,男,汉族,海南省,201,192,190
1181020201075 ,女,黎族,海南省,219,182,186
1181020201076 ,男,汉族,海南省,213,162,202
1181020201077 ,女,汉族,海南省,219,180,178
1181020201078 ,女,汉族,海南省,181,201,213
1181020201079 ,女,汉族,海南省,187,207,197
1181020201080 ,女,汉族,海南省,189,191,199
1181020201081 ,女,汉族,海南省,197,187,205
1181020201082 ,女,汉族,海南省,187,207,189
1181020201083 ,女,汉族,海南省,211,194,187
1181020201084 ,女,汉族,海南省,205,201,201
1181020201085 ,女,汉族,海南省,213,206,193
1181020201086 ,女,汉族,海南省,199,205,213
1181020201087 ,男,汉族,海南省,176,196,183
1181020201088 ,女,汉族,海南省,203,195,199
1181020201089 ,男,汉族,海南省,199,174,201
1181020201090 ,女,汉族,海南省,197,190,198
1181020201091 ,女,汉族,海南省,215,177,201
1181020201092 ,男,汉族,海南省,174,190,214
1181020201093 ,男,汉族,海南省,217,195,209
1181020201094 ,女,汉族,海南省,213,202,202
1181020201095 ,女,黎族,海南省,213,183,168
1181020201096 ,女,黎族,海南省,191,194,190
1181020201097 ,男,黎族,海南省,201,201,189
1181020201098 ,女,汉族,海南省,193,202,199
1181020201099 ,女,汉族,海南省,176,213,213
1181020201100 ,女,汉族,海南省,172,196,200
1181020201101 ,女,汉族,海南省,197,182,199
1181020201102 ,女,汉族,海南省,205,222,172
1181020201103 ,女,汉族,海南省,187,202,189
1181020201104 ,男,黎族,海南省,205,191,181
1181020201105 ,女,黎族,海南省,199,205,191
1181020201106 ,男,汉族,海南省,185,190,209
1181020201107 ,男,汉族,海南省,201,192,199
1181020201108 ,女,汉族,海南省,207,208,196
1181020201109 ,女,汉族,海南省,185,191,220
1181020201110 ,女,汉族,海南省,223,211,176
1181020201111 ,男,汉族,海南省,185,174,234
1181020201112 ,女,汉族,海南省,176,188,193
1181020201113 ,女,汉族,海南省,199,200,211
1181020201114 ,男,黎族,海南省,197,160,178
1181020201115 ,女,黎族,海南省,203,199,195
1181020201116 ,女,黎族,海南省,211,209,177
1181020201117 ,男,汉族,海南省,193,168,198
1181020201118 ,女,汉族,海南省,197,188,209
1181020201119 ,男,汉族,海南省,183,197,192
1181020201120 ,女,汉族,海南省,185,227,170
1181020201121 ,女,汉族,海南省,201,191,205
1181020201122 ,女,汉族,海南省,189,195,170
1181020201123 ,男,汉族,海南省,195,193,186
1181020201124 ,女,苗族,海南省,195,183,181
1181020201125 ,女,汉族,海南省,213,198,180
1181020201126 ,女,壮族,海南省,213,205,181
1181020201127 ,男,汉族,海南省,193,182,208
1181020201128 ,男,汉族,海南省,197,177,200
1181020201129 ,男,汉族,海南省,165,191,199
1181020201130 ,男,汉族,海南省,195,206,201
1181020201131 ,女,汉族,海南省,199,174,211
1181020201132 ,男,汉族,海南省,178,199,195
1181020201133 ,女,黎族,海南省,195,211,194
1181020201134 ,女,汉族,海南省,205,198,197
1181020201135 ,女,汉族,海南省,187,217,184
1181020201136 ,男,汉族,海南省,189,180,211
